id,phone_id,counterparty_number,call_time,duration_seconds,data_source
CR000079,PH000239,9402766563,2026-06-07T17:11:29Z,503,SYNTHETIC
CR000080,PH000139,9117741402,2025-10-07T03:10:55Z,345,SYNTHETIC
CR000081,PH000095,9851803691,2026-04-28T00:39:36Z,231,SYNTHETIC
CR000082,PH000286,8769661415,2024-05-29T04:31:51Z,71,SYNTHETIC
CR000083,PH000341,6687323011,2024-05-21T15:46:18Z,185,SYNTHETIC
CR000084,PH000351,8097511790,2024-09-13T16:56:50Z,209,SYNTHETIC
CR000085,PH000352,7972020188,2026-06-08T12:36:20Z,1155,SYNTHETIC
CR000086,PH000125,8142800073,2026-01-26T12:16:43Z,745,SYNTHETIC
CR000087,PH000114,7606212650,2026-05-21T00:16:06Z,1758,SYNTHETIC
CR000088,PH000124,9399302206,2024-06-12T19:22:15Z,661,SYNTHETIC
CR000089,PH000049,6528577578,2024-10-20T01:07:54Z,1229,SYNTHETIC
CR000090,PH000087,8918890383,2025-06-22T07:28:42Z,1235,SYNTHETIC
CR000091,PH000240,8930047840,2024-12-07T03:38:02Z,1757,SYNTHETIC
CR000092,PH000072,9832551508,2024-06-01T22:50:23Z,1726,SYNTHETIC
CR000093,PH000101,7804662513,2024-07-12T20:54:16Z,675,SYNTHETIC
CR000094,PH000257,9876543210,2024-09-10T03:48:59Z,284,SYNTHETIC
CR000095,PH000423,6127416934,2026-03-19T20:31:57Z,1371,SYNTHETIC
CR000096,PH000136,9442286919,2025-06-05T02:50:42Z,1368,SYNTHETIC
CR000097,PH000071,7609664278,2025-06-11T13:16:25Z,1116,SYNTHETIC
CR000098,PH000246,8461281435,2026-05-12T14:42:55Z,1174,SYNTHETIC
CR000099,PH000146,7358305987,2026-01-28T16:04:50Z,97,SYNTHETIC
CR000100,PH000247,8460253107,2025-07-14T01:48:44Z,156,SYNTHETIC
CR000101,PH000026,8755061085,2026-01-13T01:02:47Z,557,SYNTHETIC
CR000102,PH000208,7080948287,2025-01-18T23:54:58Z,856,SYNTHETIC
CR000103,PH000221,6915655993,2025-10-01T13:39:56Z,1735,SYNTHETIC
CR000104,PH000332,6204808500,2024-09-23T14:41:04Z,78,SYNTHETIC
CR000105,PH000156,7582430397,2025-10-03T13:32:24Z,1682,SYNTHETIC
CR000106,PH000363,6361253010,2025-06-03T11:57:52Z,1723,SYNTHETIC
CR000107,PH000163,6796307193,2026-05-27T00:44:34Z,422,SYNTHETIC
CR000108,PH000269,7465035321,2026-01-26T02:58:51Z,1075,SYNTHETIC
CR000109,PH000019,8151925881,2025-05-31T02:37:19Z,721,SYNTHETIC
CR000110,PH000118,9447348051,2026-01-25T01:16:21Z,191,SYNTHETIC
CR000111,PH000026,7815260768,2024-09-25T12:51:33Z,111,SYNTHETIC
CR000112,PH000095,8548242505,2025-09-22T05:06:16Z,1371,SYNTHETIC
CR000113,PH000247,8461281435,2025-10-03T21:05:26Z,809,SYNTHETIC
CR000114,PH000077,8545563411,2025-05-23T09:42:14Z,1655,SYNTHETIC
CR000115,PH000258,6968813353,2025-07-03T23:15:00Z,560,SYNTHETIC
CR000116,PH000094,6851077010,2025-09-15T12:03:54Z,271,SYNTHETIC
CR000117,PH000429,7182509815,2026-03-26T18:34:49Z,602,SYNTHETIC
CR000118,PH000235,7221163768,2024-08-22T07:42:46Z,826,SYNTHETIC
CR000119,PH000042,6758971576,2026-02-13T02:49:51Z,922,SYNTHETIC
CR000120,PH000164,8321279646,2026-03-09T05:47:21Z,1773,SYNTHETIC
CR000121,PH000378,6636491094,2026-01-17T08:53:47Z,89,SYNTHETIC
CR000122,PH000232,7221163768,2024-01-16T02:49:57Z,1794,SYNTHETIC
CR000123,PH000315,9650868313,2024-05-17T01:37:39Z,469,SYNTHETIC
CR000124,PH000220,8644261243,2025-09-09T08:50:03Z,633,SYNTHETIC
CR000125,PH000030,8162074407,2025-03-30T15:07:09Z,976,SYNTHETIC
CR000126,PH000333,7610228601,2026-05-01T03:46:37Z,106,SYNTHETIC
CR000127,PH000213,6559491558,2024-02-05T02:27:32Z,679,SYNTHETIC
CR000128,PH000035,9299767657,2024-06-15T14:56:44Z,204,SYNTHETIC
CR000129,PH000321,6127416934,2026-06-29T04:15:54Z,1423,SYNTHETIC
CR000130,PH000251,8461281435,2024-09-07T17:49:40Z,270,SYNTHETIC
CR000131,PH000213,9647543003,2025-07-04T08:04:32Z,1030,SYNTHETIC
CR000132,PH000058,7182509815,2026-06-22T12:08:46Z,1360,SYNTHETIC
CR000133,PH000124,9906286630,2024-08-01T04:37:25Z,536,SYNTHETIC
CR000134,PH000186,8279853154,2024-11-23T16:06:18Z,1418,SYNTHETIC
CR000135,PH000140,8180710203,2024-09-12T11:51:45Z,954,SYNTHETIC
CR000136,PH000042,7152882657,2025-07-19T13:02:47Z,1294,SYNTHETIC
CR000137,PH000264,8887939308,2025-10-12T10:00:20Z,877,SYNTHETIC
CR000138,PH000213,7829570734,2026-06-18T21:45:10Z,1708,SYNTHETIC
CR000139,PH000213,9402766563,2024-01-17T23:54:25Z,1275,SYNTHETIC
CR000140,PH000223,6263523071,2026-07-27T10:35:38Z,979,SYNTHETIC
CR000141,PH000236,9668122365,2024-08-11T03:26:09Z,136,SYNTHETIC
CR000142,PH000338,8787712955,2024-06-21T14:12:52Z,1127,SYNTHETIC
CR000143,PH000009,9083422436,2025-02-01T06:18:19Z,612,SYNTHETIC
CR000144,PH000060,6277323525,2024-06-22T16:47:33Z,600,SYNTHETIC
CR000145,PH000120,8168564407,2024-12-24T19:13:46Z,805,SYNTHETIC
CR000146,PH000194,8205327992,2026-01-26T21:27:00Z,1127,SYNTHETIC
CR000147,PH000331,6892291436,2024-05-06T12:27:01Z,1293,SYNTHETIC
CR000148,PH000297,8270533609,2024-04-09T00:33:07Z,729,SYNTHETIC
CR000149,PH000067,9173521059,2025-06-04T10:57:23Z,1595,SYNTHETIC
CR000150,PH000218,7427453318,2025-07-07T02:57:02Z,1739,SYNTHETIC
CR000151,PH000302,7182509815,2025-05-20T00:42:23Z,1741,SYNTHETIC
CR000152,PH000320,9880201084,2026-01-13T19:21:11Z,26,SYNTHETIC
CR000153,PH000374,9713598720,2025-02-08T08:59:26Z,29,SYNTHETIC
CR000154,PH000067,8181635626,2025-12-30T22:13:18Z,1551,SYNTHETIC
CR000155,PH000161,6225565384,2025-01-01T05:28:05Z,706,SYNTHETIC
CR000156,PH000184,7540931288,2026-07-08T06:50:36Z,703,SYNTHETIC
CR000157,PH000321,6127416934,2025-11-18T21:57:20Z,393,SYNTHETIC
CR000158,PH000420,7402972238,2026-08-12T18:43:40Z,1180,SYNTHETIC
CR000159,PH000030,7897036482,2026-04-04T17:38:30Z,1513,SYNTHETIC
CR000160,PH000196,9184559120,2024-09-23T00:43:12Z,56,SYNTHETIC
CR000161,PH000270,7734655270,2024-04-19T03:23:13Z,208,SYNTHETIC
CR000162,PH000042,6758971576,2024-04-19T13:13:33Z,1712,SYNTHETIC
CR000163,PH000423,7658855498,2025-08-05T21:10:55Z,849,SYNTHETIC
CR000164,PH000146,6966927819,2025-01-22T06:00:07Z,15,SYNTHETIC
CR000165,PH000131,7708135985,2024-10-11T02:18:42Z,859,SYNTHETIC
CR000166,PH000299,7540931288,2024-04-04T13:07:17Z,898,SYNTHETIC
CR000167,PH000170,6527339529,2025-06-11T08:58:58Z,578,SYNTHETIC
CR000168,PH000338,8857245991,2026-02-15T00:47:18Z,368,SYNTHETIC
CR000169,PH000031,9596380172,2025-09-04T18:00:07Z,326,SYNTHETIC
CR000170,PH000269,6679658140,2024-09-30T14:39:03Z,211,SYNTHETIC
CR000171,PH000185,8809755527,2026-06-29T20:51:39Z,1409,SYNTHETIC
CR000172,PH000176,6204808500,2026-03-17T10:21:54Z,163,SYNTHETIC
CR000173,PH000090,6685017796,2025-09-16T13:12:03Z,1232,SYNTHETIC
CR000174,PH000009,8243325070,2024-09-15T17:21:13Z,298,SYNTHETIC
CR000175,PH000132,9906286630,2025-01-22T07:19:16Z,418,SYNTHETIC
CR000176,PH000283,6844668450,2025-09-16T16:52:51Z,665,SYNTHETIC
CR000177,PH000029,7611657175,2026-06-09T06:19:08Z,118,SYNTHETIC
CR000178,PH000155,7314076479,2024-06-19T05:32:47Z,1049,SYNTHETIC
CR000179,PH000176,6443834177,2024-02-03T14:32:06Z,596,SYNTHETIC
CR000180,PH000285,7804141328,2026-06-17T01:59:48Z,1247,SYNTHETIC
CR000181,PH000165,8835862546,2026-05-15T07:56:33Z,1085,SYNTHETIC
CR000182,PH000334,8053223350,2026-08-15T05:33:09Z,536,SYNTHETIC
CR000183,PH000323,7441718125,2024-04-25T07:54:48Z,1180,SYNTHETIC
CR000184,PH000237,9034265023,2026-07-02T14:59:59Z,638,SYNTHETIC
CR000185,PH000178,6022608653,2025-07-09T08:01:00Z,832,SYNTHETIC
CR000186,PH000152,8252702249,2025-12-22T09:59:21Z,1295,SYNTHETIC
CR000187,PH000305,7934074467,2025-02-20T14:43:09Z,1336,SYNTHETIC
CR000188,PH000136,8070328730,2025-02-04T08:34:00Z,628,SYNTHETIC
CR000189,PH000370,7293078839,2025-03-03T11:50:08Z,430,SYNTHETIC
CR000190,PH000118,8899241454,2025-02-05T11:23:11Z,1532,SYNTHETIC
CR000191,PH000177,6443834177,2026-05-09T23:04:34Z,1143,SYNTHETIC
CR000192,PH000125,9399302206,2026-08-19T16:32:43Z,1382,SYNTHETIC
CR000193,PH000055,6758971576,2025-02-01T13:37:41Z,597,SYNTHETIC
CR000194,PH000099,7411865377,2026-02-18T03:03:32Z,64,SYNTHETIC
CR000195,PH000141,8857245991,2025-09-06T20:30:08Z,1420,SYNTHETIC
CR000196,PH000191,9980383593,2024-12-21T06:16:39Z,1453,SYNTHETIC
CR000197,PH000416,8391233835,2025-01-30T05:41:30Z,572,SYNTHETIC
CR000198,PH000347,6796307193,2025-02-14T01:42:30Z,1215,SYNTHETIC
CR000199,PH000047,8844530223,2024-10-12T20:20:08Z,1193,SYNTHETIC
CR000200,PH000139,8857245991,2025-10-06T01:53:33Z,1796,SYNTHETIC
CR000201,PH000346,8198073320,2026-01-19T02:08:34Z,1343,SYNTHETIC
CR000202,PH000184,7540931288,2026-08-19T14:39:56Z,1576,SYNTHETIC
CR000203,PH000365,8089771202,2026-08-06T16:36:56Z,593,SYNTHETIC
CR000204,PH000049,6217485870,2025-04-29T03:41:49Z,1555,SYNTHETIC
CR000205,PH000100,8548242505,2026-03-03T17:20:45Z,1010,SYNTHETIC
CR000206,PH000054,7485864062,2026-07-11T10:16:38Z,1271,SYNTHETIC
CR000207,PH000326,9467913314,2024-12-17T23:58:29Z,1095,SYNTHETIC
CR000208,PH000144,8886168045,2025-12-01T18:42:28Z,947,SYNTHETIC
CR000209,PH000163,8781973182,2026-05-26T03:40:12Z,1693,SYNTHETIC
CR000210,PH000094,6832914340,2025-02-23T12:00:27Z,238,SYNTHETIC
CR000211,PH000170,7725778837,2025-09-11T16:42:17Z,883,SYNTHETIC
CR000212,PH000096,9166779843,2025-07-21T23:52:49Z,22,SYNTHETIC
CR000213,PH000324,8756732853,2025-06-20T17:11:29Z,831,SYNTHETIC
CR000214,PH000098,7441718125,2025-09-28T14:01:12Z,854,SYNTHETIC
CR000215,PH000336,6111815830,2024-11-22T06:40:24Z,1052,SYNTHETIC
CR000216,PH000362,8715924397,2026-01-30T01:38:12Z,406,SYNTHETIC
CR000217,PH000124,9793898965,2024-11-24T14:11:35Z,818,SYNTHETIC
CR000218,PH000200,9270598443,2026-08-10T03:27:51Z,707,SYNTHETIC
CR000219,PH000152,8552362285,2024-02-19T14:53:14Z,1066,SYNTHETIC
CR000220,PH000283,7934074467,2024-08-20T15:48:59Z,1156,SYNTHETIC
CR000221,PH000111,7411865377,2025-02-16T01:13:11Z,126,SYNTHETIC
CR000222,PH000125,8809755527,2024-02-21T08:51:16Z,1137,SYNTHETIC
CR000223,PH000400,7217772180,2024-11-11T00:38:29Z,865,SYNTHETIC
CR000224,PH000047,6758971576,2025-11-07T15:51:36Z,212,SYNTHETIC
CR000225,PH000245,7450228659,2024-01-16T01:27:10Z,1498,SYNTHETIC
CR000226,PH000092,9839654741,2024-06-01T04:45:17Z,1519,SYNTHETIC
CR000227,PH000105,8460253107,2025-05-06T12:46:52Z,674,SYNTHETIC
CR000228,PH000244,8698603119,2025-06-23T03:26:57Z,738,SYNTHETIC
CR000229,PH000027,9193197432,2024-12-22T21:54:49Z,160,SYNTHETIC
CR000230,PH000307,9034265023,2025-12-29T14:04:06Z,802,SYNTHETIC
CR000231,PH000273,6880738831,2026-01-04T05:10:32Z,569,SYNTHETIC
CR000232,PH000211,9184559120,2024-02-02T07:51:22Z,23,SYNTHETIC
CR000233,PH000433,6361253010,2025-10-06T07:20:53Z,1216,SYNTHETIC
CR000234,PH000270,8938124668,2025-07-18T16:35:56Z,774,SYNTHETIC
CR000235,PH000309,6752599105,2024-11-11T15:55:20Z,758,SYNTHETIC
CR000236,PH000018,8540267501,2024-12-16T04:58:29Z,1410,SYNTHETIC
CR000237,PH000030,9043622500,2025-06-21T11:15:08Z,913,SYNTHETIC
CR000238,PH000212,7918035040,2024-08-02T16:05:32Z,410,SYNTHETIC
CR000239,PH000345,8181635626,2026-08-19T15:53:36Z,171,SYNTHETIC
CR000240,PH000026,8755061085,2024-10-26T05:18:52Z,1366,SYNTHETIC
CR000241,PH000085,9312452073,2025-08-30T18:43:02Z,1296,SYNTHETIC
CR000242,PH000305,9801035137,2026-07-18T13:43:01Z,1026,SYNTHETIC
CR000243,PH000066,6864772078,2026-03-29T04:16:56Z,1325,SYNTHETIC
CR000244,PH000071,8482784789,2026-05-17T22:56:19Z,957,SYNTHETIC
CR000245,PH000192,7540931288,2024-09-19T07:58:47Z,1498,SYNTHETIC
CR000246,PH000094,7336089091,2024-11-15T10:24:39Z,1501,SYNTHETIC
CR000247,PH000255,8190723856,2025-08-01T06:01:03Z,34,SYNTHETIC
CR000248,PH000094,7258965734,2025-06-09T07:12:23Z,1506,SYNTHETIC
CR000249,PH000262,9839654741,2026-07-14T10:42:59Z,77,SYNTHETIC
CR000250,PH000154,9857502463,2024-08-29T08:04:13Z,942,SYNTHETIC
CR000251,PH000309,9014280388,2025-03-29T07:45:03Z,513,SYNTHETIC
CR000252,PH000210,7610228601,2024-07-19T19:20:10Z,1725,SYNTHETIC
CR000253,PH000073,8545563411,2024-04-03T01:54:57Z,608,SYNTHETIC
CR000254,PH000272,8132400725,2024-12-22T10:48:14Z,711,SYNTHETIC
CR000255,PH000056,7914577741,2025-03-31T05:14:39Z,92,SYNTHETIC
CR000256,PH000419,7469672900,2025-08-18T02:48:24Z,1450,SYNTHETIC
CR000257,PH000073,6419052211,2025-03-05T20:29:47Z,1508,SYNTHETIC
CR000258,PH000196,7238414597,2025-09-05T17:53:44Z,1327,SYNTHETIC
CR000259,PH000188,9576202334,2025-07-09T23:15:13Z,77,SYNTHETIC
CR000260,PH000236,8715924397,2026-01-18T00:37:07Z,668,SYNTHETIC
CR000261,PH000229,9034265023,2024-12-29T10:39:48Z,293,SYNTHETIC
CR000262,PH000026,7482196961,2025-04-25T04:04:48Z,1327,SYNTHETIC
CR000263,PH000190,6022608653,2026-08-06T19:25:45Z,304,SYNTHETIC
CR000264,PH000298,9732238247,2024-10-22T01:12:53Z,202,SYNTHETIC
CR000265,PH000254,8608283898,2024-02-15T00:30:47Z,337,SYNTHETIC
CR000266,PH000098,7366362689,2024-02-23T16:12:07Z,1798,SYNTHETIC
CR000267,PH000258,9125637078,2025-06-08T00:26:45Z,958,SYNTHETIC
CR000268,PH000154,9415634628,2026-02-02T06:49:23Z,1708,SYNTHETIC
CR000269,PH000159,7061166299,2025-11-06T02:41:06Z,1427,SYNTHETIC
CR000270,PH000042,8279402124,2026-07-04T08:07:30Z,1467,SYNTHETIC
CR000271,PH000177,6443834177,2026-01-07T06:41:07Z,1783,SYNTHETIC
CR000272,PH000092,8552362285,2026-03-19T21:44:17Z,1323,SYNTHETIC
CR000273,PH000197,7260213818,2025-10-30T00:27:38Z,167,SYNTHETIC
CR000274,PH000263,9694731843,2026-06-21T11:28:13Z,1013,SYNTHETIC
CR000275,PH000128,9442286919,2025-08-12T19:11:21Z,1096,SYNTHETIC
CR000276,PH000249,7804141328,2026-02-01T00:18:14Z,679,SYNTHETIC
CR000277,PH000032,7544769180,2026-08-01T12:51:39Z,601,SYNTHETIC
CR000278,PH000347,7060782485,2026-01-26T11:03:39Z,1009,SYNTHETIC
CR000279,PH000423,8151925881,2025-05-07T11:18:01Z,332,SYNTHETIC
CR000280,PH000075,8001343687,2025-11-30T01:38:38Z,844,SYNTHETIC
CR000281,PH000135,9603688035,2024-08-23T09:59:06Z,1321,SYNTHETIC
CR000282,PH000178,9042131370,2025-12-13T20:17:58Z,817,SYNTHETIC
CR000283,PH000255,7668675368,2025-12-11T04:44:04Z,691,SYNTHETIC
CR000284,PH000064,9832551508,2025-05-25T10:55:53Z,1466,SYNTHETIC
CR000285,PH000324,7797838768,2025-11-24T22:13:48Z,450,SYNTHETIC
CR000286,PH000079,7576352153,2024-11-05T22:56:16Z,773,SYNTHETIC
CR000287,PH000106,8499200903,2024-02-05T10:10:53Z,1312,SYNTHETIC
CR000288,PH000094,9900003731,2025-03-25T14:37:59Z,401,SYNTHETIC
CR000289,PH000358,6539759641,2025-11-15T08:33:13Z,1081,SYNTHETIC
CR000290,PH000260,8706527532,2024-02-11T02:20:38Z,191,SYNTHETIC
CR000291,PH000056,6147465527,2024-12-12T01:57:50Z,161,SYNTHETIC
CR000292,PH000265,6217485870,2025-02-16T12:34:26Z,565,SYNTHETIC
CR000293,PH000201,7080948287,2025-10-31T16:10:04Z,1644,SYNTHETIC
CR000294,PH000049,6758971576,2025-08-08T07:34:39Z,21,SYNTHETIC
CR000295,PH000196,8284150710,2024-07-18T09:09:35Z,1377,SYNTHETIC
CR000296,PH000233,8715924397,2026-08-14T15:32:50Z,1216,SYNTHETIC
CR000297,PH000097,6127372330,2026-04-14T09:36:15Z,1434,SYNTHETIC
CR000298,PH000358,7441718125,2024-11-22T12:16:45Z,850,SYNTHETIC
CR000299,PH000069,7734655270,2025-05-02T17:46:49Z,1147,SYNTHETIC
CR000300,PH000093,8053366265,2024-11-04T17:35:17Z,1518,SYNTHETIC
CR000301,PH000065,6731918951,2025-04-08T13:49:03Z,240,SYNTHETIC
CR000302,PH000124,9294296673,2024-05-18T07:06:31Z,572,SYNTHETIC
CR000303,PH000076,6659111855,2025-11-05T08:31:56Z,1142,SYNTHETIC
CR000304,PH000181,7533203028,2026-07-28T10:43:37Z,1283,SYNTHETIC
CR000305,PH000275,6643629683,2024-09-21T14:01:23Z,1164,SYNTHETIC
CR000306,PH000195,7717343772,2024-05-13T16:34:14Z,45,SYNTHETIC
CR000307,PH000195,8053223350,2024-01-10T19:57:11Z,75,SYNTHETIC
CR000308,PH000283,6361253010,2024-05-28T05:28:49Z,582,SYNTHETIC
CR000309,PH000124,8154512959,2024-10-19T01:53:03Z,1618,SYNTHETIC
CR000310,PH000027,9894135498,2026-02-21T12:44:20Z,994,SYNTHETIC
CR000311,PH000326,9801035137,2026-02-17T15:43:17Z,457,SYNTHETIC
CR000312,PH000146,7230074257,2024-02-05T21:58:49Z,1392,SYNTHETIC
CR000313,PH000332,6087863668,2026-02-13T19:27:20Z,958,SYNTHETIC
CR000314,PH000426,7914577741,2024-06-12T06:19:59Z,636,SYNTHETIC
CR000315,PH000107,6127372330,2025-03-19T02:54:05Z,1362,SYNTHETIC
CR000316,PH000413,8001841772,2025-01-01T06:58:15Z,1796,SYNTHETIC
CR000317,PH000190,9042131370,2024-03-07T21:39:32Z,716,SYNTHETIC
CR000318,PH000073,9880201084,2024-12-20T19:57:40Z,1419,SYNTHETIC
CR000319,PH000285,8089771202,2025-08-18T10:03:41Z,1626,SYNTHETIC
CR000320,PH000345,7658855498,2025-05-07T18:33:42Z,392,SYNTHETIC
CR000321,PH000031,6111815830,2026-01-10T17:53:29Z,298,SYNTHETIC
CR000322,PH000125,7242671685,2026-01-15T06:01:19Z,1052,SYNTHETIC
CR000323,PH000094,6603421660,2025-11-08T13:40:59Z,1667,SYNTHETIC
CR000324,PH000275,6659798467,2026-06-12T14:56:28Z,498,SYNTHETIC
CR000325,PH000027,8608283898,2024-09-15T06:05:07Z,172,SYNTHETIC
CR000326,PH000228,8603370805,2025-06-17T10:45:26Z,1576,SYNTHETIC
CR000327,PH000129,9795135550,2024-08-24T07:16:47Z,1149,SYNTHETIC
CR000328,PH000061,7910532547,2025-04-06T10:46:50Z,1526,SYNTHETIC
CR000329,PH000265,9684391157,2026-01-03T19:21:56Z,278,SYNTHETIC
CR000330,PH000135,8603370805,2026-01-09T17:16:07Z,311,SYNTHETIC
CR000331,PH000352,6118850041,2025-06-06T12:19:26Z,1275,SYNTHETIC
CR000332,PH000049,8279402124,2024-05-31T03:50:46Z,829,SYNTHETIC
CR000333,PH000189,7217772180,2024-07-28T01:47:21Z,1110,SYNTHETIC
CR000334,PH000036,8486748501,2025-05-13T08:34:54Z,570,SYNTHETIC
CR000335,PH000076,6197550468,2025-09-13T23:44:43Z,494,SYNTHETIC
CR000336,PH000057,9924802355,2025-06-18T10:44:15Z,1008,SYNTHETIC
