id,source_record_id,source_record_type,entity_text,entity_type,confidence,span_start,span_end,extraction_model,resolved_entity_id,created_at
EM000032,FR000004,FIR,Enquiry,PERSON,0.78,89,96,drishyam-ner-v1,,2026-09-07T05:41:13.263207Z
EM000033,FR000004,FIR,Christopher Sathe,PERSON,0.78,111,128,drishyam-ner-v1,P000046,2026-09-07T05:41:13.263210Z
EM000034,FR000004,FIR,Silk,PERSON,0.78,136,140,drishyam-ner-v1,,2026-09-07T05:41:13.263212Z
EM000035,FR000004,FIR,Andrew Oommen,PERSON,0.78,146,159,drishyam-ner-v1,P000006,2026-09-07T05:41:13.263215Z
EM000036,FR000004,FIR,13-Dec-2025,DATE,0.8,196,207,drishyam-ner-v1,,2026-09-07T05:41:13.263219Z
EM000037,FR000004,FIR,Dec,PERSON,0.78,199,202,drishyam-ner-v1,,2026-09-07T05:41:13.263221Z
EM000038,FR000004,FIR,TN38 LM 7095,VEHICLE,0.9,232,244,drishyam-ner-v1,,2026-09-07T05:41:13.263223Z
EM000039,FR000004,FIR,Cell,PERSON,0.78,246,250,drishyam-ner-v1,,2026-09-07T05:41:13.263225Z
EM000040,FR000004,FIR,6871973531,PHONE,0.97,274,284,drishyam-ner-v1,PH000060,2026-09-07T05:41:13.263228Z
EM000041,FR000004,FIR,Intercepted,PERSON,0.78,331,342,drishyam-ner-v1,,2026-09-07T05:41:13.263230Z
EM000042,FR000004,FIR,North Star Outfit,GANG,0.82,372,389,drishyam-ner-v1,ORG000004,2026-09-07T05:41:13.263232Z
EM000043,FR000004,FIR,Number,PERSON,0.78,400,406,drishyam-ner-v1,,2026-09-07T05:41:13.263234Z
EM000044,FR000004,FIR,FIR-2025-0002,FIR_NUMBER,0.95,407,420,drishyam-ner-v1,,2026-09-07T05:41:13.263237Z
EM000045,FR000004,FIR,Case Number,LOCATION,0.7,427,438,drishyam-ner-v1,,2026-09-07T05:41:13.263239Z
EM000046,FR000004,FIR,CASE-0002,CASE_NUMBER,0.95,439,448,drishyam-ner-v1,,2026-09-07T05:41:13.263242Z
EM000047,FR000004,FIR,Section,PERSON,0.78,468,475,drishyam-ner-v1,,2026-09-07T05:41:13.263245Z
EM000048,FR000004,FIR,Section 302 IPC,LEGAL_SECTION,0.85,468,483,drishyam-ner-v1,,2026-09-07T05:41:13.263247Z
EM000049,FR000004,FIR,Investigation,LOCATION,0.7,498,511,drishyam-ner-v1,,2026-09-07T05:41:13.263249Z
EM000050,FR000005,FIR,Complainant Janaki Nori,PERSON,0.78,0,23,drishyam-ner-v1,,2026-09-07T05:41:13.264241Z
EM000051,FR000005,FIR,18-Jun-2025,DATE,0.8,36,47,drishyam-ner-v1,,2026-09-07T05:41:13.264243Z
EM000052,FR000005,FIR,Jun,PERSON,0.78,39,42,drishyam-ner-v1,,2026-09-07T05:41:13.264246Z
EM000053,FR000005,FIR,Kajamalai Industrial Estate,PERSON,0.78,78,105,drishyam-ner-v1,,2026-09-07T05:41:13.264248Z
EM000054,FR000005,FIR,Chennai,PERSON,0.78,107,114,drishyam-ner-v1,,2026-09-07T05:41:13.264250Z
EM000055,FR000005,FIR,14/06/2025,DATE,0.8,119,129,drishyam-ner-v1,,2026-09-07T05:41:13.264253Z
EM000056,FR000005,FIR,TN60 VU 3638,VEHICLE,0.9,156,168,drishyam-ner-v1,VH000033,2026-09-07T05:41:13.264255Z
EM000057,FR000005,FIR,Janani Shetty,PERSON,0.78,184,197,drishyam-ner-v1,P000050,2026-09-07T05:41:13.264257Z
EM000058,FR000005,FIR,Janani Shetty,PERSON,0.78,218,231,drishyam-ner-v1,P000050,2026-09-07T05:41:13.264259Z
EM000059,FR000005,FIR,8165961757,PHONE,0.97,258,268,drishyam-ner-v1,PH000065,2026-09-07T05:41:13.264261Z
EM000060,FR000005,FIR,Kajamalai Industrial Estate,PERSON,0.78,281,308,drishyam-ner-v1,,2026-09-07T05:41:13.264264Z
EM000061,FR000005,FIR,Stolen,PERSON,0.78,310,316,drishyam-ner-v1,,2026-09-07T05:41:13.264266Z
EM000062,FR000005,FIR,Number,PERSON,0.78,361,367,drishyam-ner-v1,,2026-09-07T05:41:13.264268Z
EM000063,FR000005,FIR,FIR-2025-0003,FIR_NUMBER,0.95,368,381,drishyam-ner-v1,,2026-09-07T05:41:13.264270Z
EM000064,FR000005,FIR,Case Number,LOCATION,0.7,388,399,drishyam-ner-v1,,2026-09-07T05:41:13.264272Z
EM000065,FR000005,FIR,CASE-0003,CASE_NUMBER,0.95,400,409,drishyam-ner-v1,,2026-09-07T05:41:13.264274Z
EM000066,FR000005,FIR,Section,PERSON,0.78,426,433,drishyam-ner-v1,,2026-09-07T05:41:13.264277Z
EM000067,FR000005,FIR,Section 379 IPC,LEGAL_SECTION,0.85,426,441,drishyam-ner-v1,,2026-09-07T05:41:13.264279Z
EM000068,FR000005,FIR,Investigation,LOCATION,0.7,455,468,drishyam-ner-v1,,2026-09-07T05:41:13.264281Z
EM000069,FR000006,FIR,Complainant Tarak Garde,PERSON,0.78,0,23,drishyam-ner-v1,,2026-09-07T05:41:13.265346Z
EM000070,FR000006,FIR,Velachery Oil Depot,PERSON,0.78,36,55,drishyam-ner-v1,,2026-09-07T05:41:13.265349Z
EM000071,FR000006,FIR,Kancheepuram,PERSON,0.78,74,86,drishyam-ner-v1,,2026-09-07T05:41:13.265352Z
EM000072,FR000006,FIR,29-Jul-2024,DATE,0.8,90,101,drishyam-ner-v1,,2026-09-07T05:41:13.265354Z
EM000073,FR000006,FIR,Jul,PERSON,0.78,93,96,drishyam-ner-v1,,2026-09-07T05:41:13.265356Z
EM000074,FR000006,FIR,Vanya Banerjee,PERSON,0.78,107,121,drishyam-ner-v1,P000136,2026-09-07T05:41:13.265358Z
EM000075,FR000006,FIR,Rachit Saran,PERSON,0.78,141,153,drishyam-ner-v1,P000156,2026-09-07T05:41:13.265361Z
EM000076,FR000006,FIR,Crimson Tide Group,GANG,0.82,161,179,drishyam-ner-v1,ORG000008,2026-09-07T05:41:13.265363Z
EM000077,FR000006,FIR,27/07/2024,DATE,0.8,268,278,drishyam-ner-v1,,2026-09-07T05:41:13.265365Z
EM000078,FR000006,FIR,Vanya Banerjee,PERSON,0.78,280,294,drishyam-ner-v1,P000136,2026-09-07T05:41:13.265368Z
EM000079,FR000006,FIR,6156863161,PHONE,0.97,331,341,drishyam-ner-v1,PH000174,2026-09-07T05:41:13.265370Z
EM000080,FR000006,FIR,The,LOCATION,0.7,387,390,drishyam-ner-v1,,2026-09-07T05:41:13.265373Z
EM000081,FR000006,FIR,TN27 TC 1572,VEHICLE,0.9,448,460,drishyam-ner-v1,VH000090,2026-09-07T05:41:13.265375Z
EM000082,FR000006,FIR,Number,PERSON,0.78,466,472,drishyam-ner-v1,,2026-09-07T05:41:13.265377Z
EM000083,FR000006,FIR,FIR-2024-0004,FIR_NUMBER,0.95,473,486,drishyam-ner-v1,,2026-09-07T05:41:13.265379Z
EM000084,FR000006,FIR,Case Number,LOCATION,0.7,504,515,drishyam-ner-v1,,2026-09-07T05:41:13.265381Z
EM000085,FR000006,FIR,CASE-0004,CASE_NUMBER,0.95,516,525,drishyam-ner-v1,,2026-09-07T05:41:13.265383Z
EM000086,FR000006,FIR,Section,PERSON,0.78,542,549,drishyam-ner-v1,,2026-09-07T05:41:13.265385Z
EM000087,FR000006,FIR,Section 170 IPC,LEGAL_SECTION,0.85,542,557,drishyam-ner-v1,,2026-09-07T05:41:13.265387Z
EM000088,FR000006,FIR,Investigating,PERSON,0.78,596,609,drishyam-ner-v1,,2026-09-07T05:41:13.265389Z
EM000089,FR000007,FIR,19/10/2024,DATE,0.8,3,13,drishyam-ner-v1,,2026-09-07T05:41:13.266381Z
EM000090,FR000007,FIR,Mettupalayam Wholesale Market,PERSON,0.78,54,83,drishyam-ner-v1,,2026-09-07T05:41:13.266384Z
EM000091,FR000007,FIR,Thanjavur,PERSON,0.78,85,94,drishyam-ner-v1,,2026-09-07T05:41:13.266386Z
EM000092,FR000007,FIR,Enquiry,PERSON,0.78,96,103,drishyam-ner-v1,,2026-09-07T05:41:13.266388Z
EM000093,FR000007,FIR,Chakrika Tripathi,PERSON,0.78,118,135,drishyam-ner-v1,P000048,2026-09-07T05:41:13.266391Z
EM000094,FR000007,FIR,Aditya Kibe,PERSON,0.78,156,167,drishyam-ner-v1,P000047,2026-09-07T05:41:13.266394Z
EM000095,FR000007,FIR,22-Oct-2024,DATE,0.8,204,215,drishyam-ner-v1,,2026-09-07T05:41:13.266396Z
EM000096,FR000007,FIR,Oct,PERSON,0.78,207,210,drishyam-ner-v1,,2026-09-07T05:41:13.266399Z
EM000097,FR000007,FIR,TN30 NL 5937,VEHICLE,0.9,240,252,drishyam-ner-v1,VH000032,2026-09-07T05:41:13.266401Z
EM000098,FR000007,FIR,Cell,PERSON,0.78,254,258,drishyam-ner-v1,,2026-09-07T05:41:13.266403Z
EM000099,FR000007,FIR,8089771202,PHONE,0.97,282,292,drishyam-ner-v1,PH000062,2026-09-07T05:41:13.266405Z
EM000100,FR000007,FIR,Intercepted,PERSON,0.78,339,350,drishyam-ner-v1,,2026-09-07T05:41:13.266408Z
EM000101,FR000007,FIR,North Star Outfit,GANG,0.82,380,397,drishyam-ner-v1,ORG000004,2026-09-07T05:41:13.266410Z
EM000102,FR000007,FIR,Number,PERSON,0.78,408,414,drishyam-ner-v1,,2026-09-07T05:41:13.266412Z
EM000103,FR000007,FIR,FIR-2024-0005,FIR_NUMBER,0.95,415,428,drishyam-ner-v1,,2026-09-07T05:41:13.266414Z
EM000104,FR000007,FIR,Case Number,LOCATION,0.7,435,446,drishyam-ner-v1,,2026-09-07T05:41:13.266417Z
EM000105,FR000007,FIR,CASE-0005,CASE_NUMBER,0.95,447,456,drishyam-ner-v1,,2026-09-07T05:41:13.266419Z
EM000106,FR000007,FIR,Section,PERSON,0.78,476,483,drishyam-ner-v1,,2026-09-07T05:41:13.266421Z
EM000107,FR000007,FIR,Section 120B IPC,LEGAL_SECTION,0.85,476,492,drishyam-ner-v1,,2026-09-07T05:41:13.266423Z
EM000108,FR000007,FIR,Investigation,LOCATION,0.7,507,520,drishyam-ner-v1,,2026-09-07T05:41:13.266425Z
EM000109,FR000008,FIR,Based,PERSON,0.78,0,5,drishyam-ner-v1,,2026-09-07T05:41:13.267479Z
EM000110,FR000008,FIR,21-Sep-2024,DATE,0.8,33,44,drishyam-ner-v1,,2026-09-07T05:41:13.267482Z
EM000111,FR000008,FIR,Sep,PERSON,0.78,36,39,drishyam-ner-v1,,2026-09-07T05:41:13.267485Z
EM000112,FR000008,FIR,Gandhipuram Warehouse Complex,PERSON,0.78,78,107,drishyam-ner-v1,,2026-09-07T05:41:13.267487Z
EM000113,FR000008,FIR,Madurai,PERSON,0.78,109,116,drishyam-ner-v1,,2026-09-07T05:41:13.267489Z
EM000114,FR000008,FIR,Complainant Faras Tank,PERSON,0.78,118,140,drishyam-ner-v1,,2026-09-07T05:41:13.267492Z
EM000115,FR000008,FIR,Kritika Maharaj,PERSON,0.78,152,167,drishyam-ner-v1,P000110,2026-09-07T05:41:13.267494Z
EM000116,FR000008,FIR,Ikshita Krishna,PERSON,0.78,187,202,drishyam-ner-v1,P000118,2026-09-07T05:41:13.267497Z
EM000117,FR000008,FIR,Iron Wolf Syndicate,GANG,0.82,237,256,drishyam-ner-v1,ORG000007,2026-09-07T05:41:13.267499Z
EM000118,FR000008,FIR,18/09/2024,DATE,0.8,277,287,drishyam-ner-v1,,2026-09-07T05:41:13.267502Z
EM000119,FR000008,FIR,Kritika Maharaj,PERSON,0.78,333,348,drishyam-ner-v1,P000110,2026-09-07T05:41:13.267504Z
EM000120,FR000008,FIR,TN27 WR 4301,VEHICLE,0.9,381,393,drishyam-ner-v1,,2026-09-07T05:41:13.267506Z
EM000121,FR000008,FIR,7230074257,PHONE,0.97,438,448,drishyam-ner-v1,PH000141,2026-09-07T05:41:13.267509Z
EM000122,FR000008,FIR,Contraband,PERSON,0.78,450,460,drishyam-ner-v1,,2026-09-07T05:41:13.267511Z
EM000123,FR000008,FIR,Number,PERSON,0.78,504,510,drishyam-ner-v1,,2026-09-07T05:41:13.267513Z
EM000124,FR000008,FIR,FIR-2024-0006,FIR_NUMBER,0.95,511,524,drishyam-ner-v1,,2026-09-07T05:41:13.267515Z
EM000125,FR000008,FIR,Case Number,LOCATION,0.7,531,542,drishyam-ner-v1,,2026-09-07T05:41:13.267517Z
EM000126,FR000008,FIR,CASE-0006,CASE_NUMBER,0.95,543,552,drishyam-ner-v1,,2026-09-07T05:41:13.267519Z
EM000127,FR000008,FIR,Section,PERSON,0.78,584,591,drishyam-ner-v1,,2026-09-07T05:41:13.267521Z
EM000128,FR000008,FIR,Section 418 IPC,LEGAL_SECTION,0.85,584,599,drishyam-ner-v1,,2026-09-07T05:41:13.267523Z
EM000129,FR000009,FIR,Based,PERSON,0.78,0,5,drishyam-ner-v1,,2026-09-07T05:41:13.268530Z
EM000130,FR000009,FIR,26-Jun-2025,DATE,0.8,33,44,drishyam-ner-v1,,2026-09-07T05:41:13.268534Z
EM000131,FR000009,FIR,Jun,PERSON,0.78,36,39,drishyam-ner-v1,,2026-09-07T05:41:13.268536Z
EM000132,FR000009,FIR,Ukkadam Harbour Police,PERSON,0.78,78,100,drishyam-ner-v1,,2026-09-07T05:41:13.268539Z
EM000133,FR000009,FIR,Station,LOCATION,0.7,101,108,drishyam-ner-v1,,2026-09-07T05:41:13.268541Z
EM000134,FR000009,FIR,Coimbatore,PERSON,0.78,110,120,drishyam-ner-v1,,2026-09-07T05:41:13.268543Z
EM000135,FR000009,FIR,Complainant Bhavika Dalal,PERSON,0.78,122,147,drishyam-ner-v1,,2026-09-07T05:41:13.268545Z
EM000136,FR000009,FIR,Chakrika Tripathi,PERSON,0.78,159,176,drishyam-ner-v1,P000048,2026-09-07T05:41:13.268547Z
EM000137,FR000009,FIR,Vedhika Hans,PERSON,0.78,197,209,drishyam-ner-v1,P000124,2026-09-07T05:41:13.268550Z
EM000138,FR000009,FIR,North Star Outfit,GANG,0.82,244,261,drishyam-ner-v1,ORG000004,2026-09-07T05:41:13.268552Z
EM000139,FR000009,FIR,23/06/2025,DATE,0.8,282,292,drishyam-ner-v1,,2026-09-07T05:41:13.268554Z
EM000140,FR000009,FIR,Chakrika Tripathi,PERSON,0.78,338,355,drishyam-ner-v1,P000048,2026-09-07T05:41:13.268556Z
EM000141,FR000009,FIR,TN30 NL 5937,VEHICLE,0.9,388,400,drishyam-ner-v1,VH000032,2026-09-07T05:41:13.268559Z
EM000142,FR000009,FIR,8089771202,PHONE,0.97,445,455,drishyam-ner-v1,PH000062,2026-09-07T05:41:13.268561Z
EM000143,FR000009,FIR,Contraband,PERSON,0.78,457,467,drishyam-ner-v1,,2026-09-07T05:41:13.268563Z
EM000144,FR000009,FIR,Number,PERSON,0.78,510,516,drishyam-ner-v1,,2026-09-07T05:41:13.268565Z
EM000145,FR000009,FIR,FIR-2025-0007,FIR_NUMBER,0.95,517,530,drishyam-ner-v1,,2026-09-07T05:41:13.268567Z
EM000146,FR000009,FIR,Case Number,LOCATION,0.7,537,548,drishyam-ner-v1,,2026-09-07T05:41:13.268569Z
EM000147,FR000009,FIR,CASE-0007,CASE_NUMBER,0.95,549,558,drishyam-ner-v1,,2026-09-07T05:41:13.268571Z
EM000148,FR000009,FIR,Section,PERSON,0.78,590,597,drishyam-ner-v1,,2026-09-07T05:41:13.268573Z
EM000149,FR000009,FIR,Section 21 NDPS,LEGAL_SECTION,0.85,590,605,drishyam-ner-v1,,2026-09-07T05:41:13.268575Z
EM000150,FR000010,FIR,Complainant Inaya Date,PERSON,0.78,0,22,drishyam-ner-v1,,2026-09-07T05:41:13.269587Z
EM000151,FR000010,FIR,Sulur Check Post,PERSON,0.78,42,58,drishyam-ner-v1,,2026-09-07T05:41:13.269589Z
EM000152,FR000010,FIR,Coimbatore,PERSON,0.78,60,70,drishyam-ner-v1,,2026-09-07T05:41:13.269592Z
EM000153,FR000010,FIR,23-Jun-2026,DATE,0.8,75,86,drishyam-ner-v1,,2026-09-07T05:41:13.269594Z
EM000154,FR000010,FIR,Jun,PERSON,0.78,78,81,drishyam-ner-v1,,2026-09-07T05:41:13.269597Z
EM000155,FR000010,FIR,Bina Reddy,PERSON,0.78,101,111,drishyam-ner-v1,P000131,2026-09-07T05:41:13.269599Z
EM000156,FR000010,FIR,Charan Saxena,PERSON,0.78,133,146,drishyam-ner-v1,P000077,2026-09-07T05:41:13.269601Z
EM000157,FR000010,FIR,fraud,CRIME_TYPE,0.75,158,163,drishyam-ner-v1,,2026-09-07T05:41:13.269603Z
EM000158,FR000010,FIR,14/06/2026,DATE,0.8,167,177,drishyam-ner-v1,,2026-09-07T05:41:13.269605Z
EM000159,FR000010,FIR,Bina Reddy,PERSON,0.78,217,227,drishyam-ner-v1,P000131,2026-09-07T05:41:13.269608Z
EM000160,FR000010,FIR,9960013487,PHONE,0.97,261,271,drishyam-ner-v1,PH000166,2026-09-07T05:41:13.269610Z
EM000161,FR000010,FIR,TN45 XM 3135,VEHICLE,0.9,326,338,drishyam-ner-v1,VH000088,2026-09-07T05:41:13.269612Z
EM000162,FR000010,FIR,Sulur Check Post,PERSON,0.78,344,360,drishyam-ner-v1,,2026-09-07T05:41:13.269614Z
EM000163,FR000010,FIR,04-Jul-2026,DATE,0.8,364,375,drishyam-ner-v1,,2026-09-07T05:41:13.269616Z
EM000164,FR000010,FIR,Jul,PERSON,0.78,367,370,drishyam-ner-v1,,2026-09-07T05:41:13.269619Z
EM000165,FR000010,FIR,The Crimson Tide,ORGANIZATION,0.7,377,393,drishyam-ner-v1,,2026-09-07T05:41:13.269621Z
EM000166,FR000010,FIR,Group,GANG,0.82,394,399,drishyam-ner-v1,,2026-09-07T05:41:13.269623Z
EM000167,FR000010,FIR,Number,PERSON,0.78,438,444,drishyam-ner-v1,,2026-09-07T05:41:13.269625Z
EM000168,FR000010,FIR,FIR-2026-0008,FIR_NUMBER,0.95,445,458,drishyam-ner-v1,,2026-09-07T05:41:13.269627Z
EM000169,FR000010,FIR,Case Number,LOCATION,0.7,465,476,drishyam-ner-v1,,2026-09-07T05:41:13.269629Z
EM000170,FR000010,FIR,CASE-0008,CASE_NUMBER,0.95,477,486,drishyam-ner-v1,,2026-09-07T05:41:13.269631Z
EM000171,FR000010,FIR,Section,PERSON,0.78,503,510,drishyam-ner-v1,,2026-09-07T05:41:13.269633Z
EM000172,FR000010,FIR,Section 471 IPC,LEGAL_SECTION,0.85,503,518,drishyam-ner-v1,,2026-09-07T05:41:13.269635Z
EM000173,FR000010,FIR,Investigation,LOCATION,0.7,531,544,drishyam-ner-v1,,2026-09-07T05:41:13.269637Z
EM000174,FR000011,FIR,Complainant Damyanti Comar,PERSON,0.78,0,26,drishyam-ner-v1,,2026-09-07T05:41:13.270930Z
EM000175,FR000011,FIR,Pudukkottai,PERSON,0.78,40,51,drishyam-ner-v1,,2026-09-07T05:41:13.270933Z
EM000176,FR000011,FIR,Section,PERSON,0.78,66,73,drishyam-ner-v1,,2026-09-07T05:41:13.270936Z
EM000177,FR000011,FIR,Section 154 CrPC,LEGAL_SECTION,0.85,66,82,drishyam-ner-v1,,2026-09-07T05:41:13.270938Z
EM000178,FR000011,FIR,27-Jan-2024,DATE,0.8,96,107,drishyam-ner-v1,,2026-09-07T05:41:13.270940Z
EM000179,FR000011,FIR,Jan,PERSON,0.78,99,102,drishyam-ner-v1,,2026-09-07T05:41:13.270942Z
EM000180,FR000011,FIR,30-Jan-2024,DATE,0.8,112,123,drishyam-ner-v1,,2026-09-07T05:41:13.270945Z
EM000181,FR000011,FIR,Jan,PERSON,0.78,115,118,drishyam-ner-v1,,2026-09-07T05:41:13.270947Z
EM000182,FR000011,FIR,Andrew Verma,PERSON,0.78,125,137,drishyam-ner-v1,P000117,2026-09-07T05:41:13.270949Z
EM000183,FR000011,FIR,Silk,PERSON,0.78,145,149,drishyam-ner-v1,,2026-09-07T05:41:13.270951Z
EM000184,FR000011,FIR,Charan Saxena,PERSON,0.78,155,168,drishyam-ner-v1,P000077,2026-09-07T05:41:13.270953Z
EM000185,FR000011,FIR,Iron Wolf Syndicate,GANG,0.82,181,200,drishyam-ner-v1,ORG000007,2026-09-07T05:41:13.270955Z
EM000186,FR000011,FIR,A/C XXXX8145,BANK_ACCOUNT,0.85,229,241,drishyam-ner-v1,AC000093,2026-09-07T05:41:13.270957Z
EM000187,FR000011,FIR,18/01/2024,DATE,0.8,297,307,drishyam-ner-v1,,2026-09-07T05:41:13.270960Z
EM000188,FR000011,FIR,A/C XXXX8145,BANK_ACCOUNT,0.85,355,367,drishyam-ner-v1,AC000093,2026-09-07T05:41:13.270962Z
EM000189,FR000011,FIR,Suspects,PERSON,0.78,387,395,drishyam-ner-v1,,2026-09-07T05:41:13.270964Z
EM000190,FR000011,FIR,8857245991,PHONE,0.97,407,417,drishyam-ner-v1,PH000149,2026-09-07T05:41:13.270966Z
EM000191,FR000011,FIR,Andrew Verma,PERSON,0.78,461,473,drishyam-ner-v1,P000117,2026-09-07T05:41:13.270968Z
EM000192,FR000011,FIR,Nagar Night Bazaar,PERSON,0.78,496,514,drishyam-ner-v1,,2026-09-07T05:41:13.270971Z
EM000193,FR000011,FIR,TN45 PL 5689,VEHICLE,0.9,549,561,drishyam-ner-v1,VH000079,2026-09-07T05:41:13.270973Z
EM000194,FR000011,FIR,Number,PERSON,0.78,567,573,drishyam-ner-v1,,2026-09-07T05:41:13.270975Z
EM000195,FR000011,FIR,FIR-2024-0009,FIR_NUMBER,0.95,574,587,drishyam-ner-v1,,2026-09-07T05:41:13.270977Z
EM000196,FR000011,FIR,Case Number,LOCATION,0.7,605,616,drishyam-ner-v1,,2026-09-07T05:41:13.270979Z
EM000197,FR000011,FIR,CASE-0009,CASE_NUMBER,0.95,617,626,drishyam-ner-v1,,2026-09-07T05:41:13.270981Z
EM000198,FR000011,FIR,Section,PERSON,0.78,646,653,drishyam-ner-v1,,2026-09-07T05:41:13.270983Z
EM000199,FR000011,FIR,Section,PERSON,0.78,665,672,drishyam-ner-v1,,2026-09-07T05:41:13.270985Z
EM000200,FR000011,FIR,Section 120B IPC,LEGAL_SECTION,0.85,665,681,drishyam-ner-v1,,2026-09-07T05:41:13.270987Z
EM000201,FR000012,FIR,Based,PERSON,0.78,0,5,drishyam-ner-v1,,2026-09-07T05:41:13.272060Z
EM000202,FR000012,FIR,07-Aug-2026,DATE,0.8,33,44,drishyam-ner-v1,,2026-09-07T05:41:13.272063Z
EM000203,FR000012,FIR,Aug,PERSON,0.78,36,39,drishyam-ner-v1,,2026-09-07T05:41:13.272066Z
EM000204,FR000012,FIR,Mettupalayam Cold Storage,PERSON,0.78,78,103,drishyam-ner-v1,,2026-09-07T05:41:13.272068Z
EM000205,FR000012,FIR,Chennai,PERSON,0.78,105,112,drishyam-ner-v1,,2026-09-07T05:41:13.272071Z
EM000206,FR000012,FIR,Complainant Charita Memon,PERSON,0.78,114,139,drishyam-ner-v1,,2026-09-07T05:41:13.272073Z
EM000207,FR000012,FIR,Anya Kibe,PERSON,0.78,151,160,drishyam-ner-v1,P000179,2026-09-07T05:41:13.272075Z
EM000208,FR000012,FIR,Saksham Sidhu,PERSON,0.78,183,196,drishyam-ner-v1,P000188,2026-09-07T05:41:13.272077Z
EM000209,FR000012,FIR,Blue Orchid Cartel,GANG,0.82,231,249,drishyam-ner-v1,ORG000011,2026-09-07T05:41:13.272079Z
