id,evidence_id,handled_by,action,occurred_at
COC000128,EV000030,OF000007,TRANSFERRED,2025-03-06T06:53:25Z
COC000129,EV000030,OF000001,RECEIVED_IN_VAULT,2025-03-07T06:53:25Z
COC000130,EV000030,OF000001,VERIFIED,2025-03-08T06:53:25Z
COC000131,EV000031,OF000008,COLLECTED,2026-08-17T17:45:03Z
COC000132,EV000031,OF000008,SEALED,2026-08-17T23:45:03Z
COC000133,EV000031,OF000005,TRANSFERRED,2026-08-18T17:45:03Z
COC000134,EV000031,OF000007,RECEIVED_IN_VAULT,2026-08-19T17:45:03Z
COC000135,EV000031,OF000005,VERIFIED,2026-08-20T17:45:03Z
COC000136,EV000032,OF000006,COLLECTED,2025-04-29T14:53:42Z
COC000137,EV000032,OF000008,SEALED,2025-04-29T20:53:42Z
COC000138,EV000032,OF000007,TRANSFERRED,2025-04-30T14:53:42Z
COC000139,EV000032,OF000006,RECEIVED_IN_VAULT,2025-05-01T14:53:42Z
COC000140,EV000032,OF000006,VERIFIED,2025-05-02T14:53:42Z
COC000141,EV000033,OF000008,COLLECTED,2026-03-07T15:07:52Z
COC000142,EV000033,OF000008,SEALED,2026-03-07T21:07:52Z
COC000143,EV000033,OF000002,TRANSFERRED,2026-03-08T15:07:52Z
COC000144,EV000033,OF000006,RECEIVED_IN_VAULT,2026-03-09T15:07:52Z
COC000145,EV000033,OF000001,VERIFIED,2026-03-10T15:07:52Z
COC000146,EV000034,OF000001,COLLECTED,2026-04-25T11:23:13Z
COC000147,EV000034,OF000006,SEALED,2026-04-25T17:23:13Z
COC000148,EV000034,OF000006,TRANSFERRED,2026-04-26T11:23:13Z
COC000149,EV000034,OF000008,RECEIVED_IN_VAULT,2026-04-27T11:23:13Z
COC000150,EV000034,OF000003,VERIFIED,2026-04-28T11:23:13Z
COC000151,EV000036,OF000005,COLLECTED,2025-12-25T18:36:02Z
COC000152,EV000036,OF000002,SEALED,2025-12-26T00:36:02Z
COC000153,EV000036,OF000008,TRANSFERRED,2025-12-26T18:36:02Z
COC000154,EV000036,OF000005,RECEIVED_IN_VAULT,2025-12-27T18:36:02Z
COC000155,EV000036,OF000002,VERIFIED,2025-12-28T18:36:02Z
COC000156,EV000037,OF000006,COLLECTED,2026-07-07T22:16:10Z
COC000157,EV000037,OF000004,SEALED,2026-07-08T04:16:10Z
COC000158,EV000037,OF000001,TRANSFERRED,2026-07-08T22:16:10Z
COC000159,EV000037,OF000007,RECEIVED_IN_VAULT,2026-07-09T22:16:10Z
COC000160,EV000037,OF000003,VERIFIED,2026-07-10T22:16:10Z
COC000161,EV000038,OF000002,COLLECTED,2026-02-22T08:44:05Z
COC000162,EV000038,OF000002,SEALED,2026-02-22T14:44:05Z
COC000163,EV000038,OF000004,TRANSFERRED,2026-02-23T08:44:05Z
COC000164,EV000038,OF000004,RECEIVED_IN_VAULT,2026-02-24T08:44:05Z
COC000165,EV000038,OF000008,VERIFIED,2026-02-25T08:44:05Z
COC000166,EV000039,OF000002,COLLECTED,2026-05-25T10:35:29Z
COC000167,EV000039,OF000001,SEALED,2026-05-25T16:35:29Z
COC000168,EV000039,OF000003,TRANSFERRED,2026-05-26T10:35:29Z
COC000169,EV000039,OF000008,RECEIVED_IN_VAULT,2026-05-27T10:35:29Z
COC000170,EV000039,OF000004,VERIFIED,2026-05-28T10:35:29Z
COC000171,EV000040,OF000005,COLLECTED,2024-09-11T23:54:17Z
COC000172,EV000040,OF000002,SEALED,2024-09-12T05:54:17Z
COC000173,EV000040,OF000006,TRANSFERRED,2024-09-12T23:54:17Z
COC000174,EV000040,OF000001,RECEIVED_IN_VAULT,2024-09-13T23:54:17Z
COC000175,EV000040,OF000005,VERIFIED,2024-09-14T23:54:17Z
COC000176,EV000042,OF000001,COLLECTED,2026-08-17T23:39:49Z
COC000177,EV000042,OF000002,SEALED,2026-08-18T05:39:49Z
COC000178,EV000042,OF000008,TRANSFERRED,2026-08-18T23:39:49Z
COC000179,EV000042,OF000008,RECEIVED_IN_VAULT,2026-08-19T23:39:49Z
COC000180,EV000042,OF000005,VERIFIED,2026-08-20T23:39:49Z
COC000181,EV000043,OF000008,COLLECTED,2026-07-22T20:33:45Z
COC000182,EV000043,OF000001,SEALED,2026-07-23T02:33:45Z
COC000183,EV000043,OF000008,TRANSFERRED,2026-07-23T20:33:45Z
COC000184,EV000043,OF000003,RECEIVED_IN_VAULT,2026-07-24T20:33:45Z
COC000185,EV000043,OF000006,VERIFIED,2026-07-25T20:33:45Z
COC000186,EV000044,OF000006,COLLECTED,2026-08-03T02:00:58Z
COC000187,EV000044,OF000002,SEALED,2026-08-03T08:00:58Z
COC000188,EV000044,OF000004,TRANSFERRED,2026-08-04T02:00:58Z
COC000189,EV000044,OF000005,RECEIVED_IN_VAULT,2026-08-05T02:00:58Z
COC000190,EV000044,OF000005,VERIFIED,2026-08-06T02:00:58Z
COC000191,EV000045,OF000008,COLLECTED,2024-06-08T19:40:06Z
COC000192,EV000045,OF000002,SEALED,2024-06-09T01:40:06Z
COC000193,EV000045,OF000002,TRANSFERRED,2024-06-09T19:40:06Z
COC000194,EV000045,OF000006,RECEIVED_IN_VAULT,2024-06-10T19:40:06Z
COC000195,EV000045,OF000004,VERIFIED,2024-06-11T19:40:06Z
COC000196,EV000046,OF000002,COLLECTED,2026-07-30T22:55:24Z
COC000197,EV000046,OF000008,SEALED,2026-07-31T04:55:24Z
COC000198,EV000046,OF000003,TRANSFERRED,2026-07-31T22:55:24Z
COC000199,EV000046,OF000004,RECEIVED_IN_VAULT,2026-08-01T22:55:24Z
COC000200,EV000046,OF000002,VERIFIED,2026-08-02T22:55:24Z
COC000201,EV000047,OF000006,COLLECTED,2026-03-31T08:14:43Z
COC000202,EV000047,OF000008,SEALED,2026-03-31T14:14:43Z
COC000203,EV000047,OF000004,TRANSFERRED,2026-04-01T08:14:43Z
COC000204,EV000047,OF000008,RECEIVED_IN_VAULT,2026-04-02T08:14:43Z
COC000205,EV000047,OF000002,VERIFIED,2026-04-03T08:14:43Z
COC000206,EV000048,OF000006,COLLECTED,2025-03-29T05:53:29Z
COC000207,EV000048,OF000002,SEALED,2025-03-29T11:53:29Z
COC000208,EV000048,OF000001,TRANSFERRED,2025-03-30T05:53:29Z
COC000209,EV000048,OF000003,RECEIVED_IN_VAULT,2025-03-31T05:53:29Z
COC000210,EV000048,OF000007,VERIFIED,2025-04-01T05:53:29Z
COC000211,EV000050,OF000004,COLLECTED,2026-07-08T17:45:27Z
COC000212,EV000050,OF000006,SEALED,2026-07-08T23:45:27Z
COC000213,EV000050,OF000003,TRANSFERRED,2026-07-09T17:45:27Z
COC000214,EV000050,OF000006,RECEIVED_IN_VAULT,2026-07-10T17:45:27Z
COC000215,EV000050,OF000002,VERIFIED,2026-07-11T17:45:27Z
COC000216,EV000051,OF000008,COLLECTED,2025-10-07T12:09:33Z
COC000217,EV000051,OF000007,SEALED,2025-10-07T18:09:33Z
COC000218,EV000051,OF000005,TRANSFERRED,2025-10-08T12:09:33Z
COC000219,EV000051,OF000005,RECEIVED_IN_VAULT,2025-10-09T12:09:33Z
COC000220,EV000051,OF000001,VERIFIED,2025-10-10T12:09:33Z
COC000221,EV000052,OF000005,COLLECTED,2026-03-20T11:17:15Z
COC000222,EV000052,OF000004,SEALED,2026-03-20T17:17:15Z
COC000223,EV000052,OF000008,TRANSFERRED,2026-03-21T11:17:15Z
COC000224,EV000052,OF000004,RECEIVED_IN_VAULT,2026-03-22T11:17:15Z
COC000225,EV000052,OF000004,VERIFIED,2026-03-23T11:17:15Z
COC000226,EV000053,OF000008,COLLECTED,2025-12-30T11:53:18Z
COC000227,EV000053,OF000001,SEALED,2025-12-30T17:53:18Z
COC000228,EV000053,OF000001,TRANSFERRED,2025-12-31T11:53:18Z
COC000229,EV000053,OF000002,RECEIVED_IN_VAULT,2026-01-01T11:53:18Z
COC000230,EV000053,OF000002,VERIFIED,2026-01-02T11:53:18Z
COC000231,EV000054,OF000007,COLLECTED,2024-06-07T13:49:38Z
COC000232,EV000054,OF000004,SEALED,2024-06-07T19:49:38Z
COC000233,EV000054,OF000003,TRANSFERRED,2024-06-08T13:49:38Z
COC000234,EV000054,OF000006,RECEIVED_IN_VAULT,2024-06-09T13:49:38Z
COC000235,EV000054,OF000002,VERIFIED,2024-06-10T13:49:38Z
COC000236,EV000056,OF000006,COLLECTED,2026-01-24T23:19:37Z
COC000237,EV000056,OF000008,SEALED,2026-01-25T05:19:37Z
COC000238,EV000056,OF000005,TRANSFERRED,2026-01-25T23:19:37Z
COC000239,EV000056,OF000001,RECEIVED_IN_VAULT,2026-01-26T23:19:37Z
COC000240,EV000056,OF000001,VERIFIED,2026-01-27T23:19:37Z
COC000241,EV000057,OF000001,COLLECTED,2026-03-04T10:50:50Z
COC000242,EV000057,OF000002,SEALED,2026-03-04T16:50:50Z
COC000243,EV000057,OF000008,TRANSFERRED,2026-03-05T10:50:50Z
COC000244,EV000057,OF000006,RECEIVED_IN_VAULT,2026-03-06T10:50:50Z
COC000245,EV000057,OF000003,VERIFIED,2026-03-07T10:50:50Z
COC000246,EV000058,OF000005,COLLECTED,2026-06-11T22:57:07Z
COC000247,EV000058,OF000008,SEALED,2026-06-12T04:57:07Z
COC000248,EV000058,OF000006,TRANSFERRED,2026-06-12T22:57:07Z
COC000249,EV000058,OF000007,RECEIVED_IN_VAULT,2026-06-13T22:57:07Z
COC000250,EV000058,OF000002,VERIFIED,2026-06-14T22:57:07Z
COC000251,EV000059,OF000004,COLLECTED,2026-02-23T14:10:41Z
COC000252,EV000059,OF000007,SEALED,2026-02-23T20:10:41Z
COC000253,EV000059,OF000008,TRANSFERRED,2026-02-24T14:10:41Z
COC000254,EV000059,OF000003,RECEIVED_IN_VAULT,2026-02-25T14:10:41Z
COC000255,EV000059,OF000004,VERIFIED,2026-02-26T14:10:41Z
COC000256,EV000060,OF000006,COLLECTED,2025-02-17T19:17:20Z
COC000257,EV000060,OF000002,SEALED,2025-02-18T01:17:20Z
COC000258,EV000060,OF000003,TRANSFERRED,2025-02-18T19:17:20Z
COC000259,EV000060,OF000003,RECEIVED_IN_VAULT,2025-02-19T19:17:20Z
COC000260,EV000060,OF000008,VERIFIED,2025-02-20T19:17:20Z
COC000261,EV000061,OF000003,COLLECTED,2024-04-08T17:41:39Z
COC000262,EV000061,OF000004,SEALED,2024-04-08T23:41:39Z
COC000263,EV000061,OF000002,TRANSFERRED,2024-04-09T17:41:39Z
COC000264,EV000061,OF000004,RECEIVED_IN_VAULT,2024-04-10T17:41:39Z
COC000265,EV000061,OF000002,VERIFIED,2024-04-11T17:41:39Z
COC000266,EV000062,OF000004,COLLECTED,2025-10-15T10:20:07Z
COC000267,EV000062,OF000007,SEALED,2025-10-15T16:20:07Z
COC000268,EV000062,OF000007,TRANSFERRED,2025-10-16T10:20:07Z
COC000269,EV000062,OF000006,RECEIVED_IN_VAULT,2025-10-17T10:20:07Z
COC000270,EV000062,OF000005,VERIFIED,2025-10-18T10:20:07Z
COC000271,EV000064,OF000003,COLLECTED,2026-02-14T05:09:58Z
COC000272,EV000064,OF000001,SEALED,2026-02-14T11:09:58Z
COC000273,EV000064,OF000006,TRANSFERRED,2026-02-15T05:09:58Z
COC000274,EV000064,OF000005,RECEIVED_IN_VAULT,2026-02-16T05:09:58Z
COC000275,EV000064,OF000005,VERIFIED,2026-02-17T05:09:58Z
COC000276,EV000065,OF000007,COLLECTED,2025-05-30T10:50:45Z
COC000277,EV000065,OF000005,SEALED,2025-05-30T16:50:45Z
COC000278,EV000065,OF000001,TRANSFERRED,2025-05-31T10:50:45Z
COC000279,EV000065,OF000008,RECEIVED_IN_VAULT,2025-06-01T10:50:45Z
COC000280,EV000065,OF000001,VERIFIED,2025-06-02T10:50:45Z
COC000281,EV000066,OF000008,COLLECTED,2025-02-18T07:57:43Z
COC000282,EV000066,OF000008,SEALED,2025-02-18T13:57:43Z
COC000283,EV000066,OF000002,TRANSFERRED,2025-02-19T07:57:43Z
COC000284,EV000066,OF000006,RECEIVED_IN_VAULT,2025-02-20T07:57:43Z
COC000285,EV000066,OF000006,VERIFIED,2025-02-21T07:57:43Z
COC000286,EV000067,OF000002,COLLECTED,2024-06-16T07:51:35Z
COC000287,EV000067,OF000001,SEALED,2024-06-16T13:51:35Z
COC000288,EV000067,OF000001,TRANSFERRED,2024-06-17T07:51:35Z
COC000289,EV000067,OF000007,RECEIVED_IN_VAULT,2024-06-18T07:51:35Z
COC000290,EV000067,OF000003,VERIFIED,2024-06-19T07:51:35Z
COC000291,EV000068,OF000003,COLLECTED,2024-05-29T13:22:31Z
COC000292,EV000068,OF000004,SEALED,2024-05-29T19:22:31Z
COC000293,EV000068,OF000006,TRANSFERRED,2024-05-30T13:22:31Z
COC000294,EV000068,OF000007,RECEIVED_IN_VAULT,2024-05-31T13:22:31Z
COC000295,EV000068,OF000003,VERIFIED,2024-06-01T13:22:31Z
COC000296,EV000070,OF000001,COLLECTED,2024-03-08T23:42:43Z
COC000297,EV000070,OF000001,SEALED,2024-03-09T05:42:43Z
COC000298,EV000070,OF000007,TRANSFERRED,2024-03-09T23:42:43Z
COC000299,EV000070,OF000004,RECEIVED_IN_VAULT,2024-03-10T23:42:43Z
COC000300,EV000070,OF000005,VERIFIED,2024-03-11T23:42:43Z
COC000301,EV000071,OF000002,COLLECTED,2026-04-23T19:56:09Z
COC000302,EV000071,OF000006,SEALED,2026-04-24T01:56:09Z
COC000303,EV000071,OF000006,TRANSFERRED,2026-04-24T19:56:09Z
COC000304,EV000071,OF000001,RECEIVED_IN_VAULT,2026-04-25T19:56:09Z
COC000305,EV000071,OF000003,VERIFIED,2026-04-26T19:56:09Z
COC000306,EV000072,OF000004,COLLECTED,2024-01-22T01:35:32Z
COC000307,EV000072,OF000008,SEALED,2024-01-22T07:35:32Z
COC000308,EV000072,OF000001,TRANSFERRED,2024-01-23T01:35:32Z
COC000309,EV000072,OF000007,RECEIVED_IN_VAULT,2024-01-24T01:35:32Z
COC000310,EV000072,OF000006,VERIFIED,2024-01-25T01:35:32Z
COC000311,EV000073,OF000002,COLLECTED,2025-08-17T20:12:00Z
COC000312,EV000073,OF000008,SEALED,2025-08-18T02:12:00Z
COC000313,EV000073,OF000001,TRANSFERRED,2025-08-18T20:12:00Z
COC000314,EV000073,OF000002,RECEIVED_IN_VAULT,2025-08-19T20:12:00Z
COC000315,EV000073,OF000004,VERIFIED,2025-08-20T20:12:00Z
COC000316,EV000074,OF000002,COLLECTED,2024-10-14T19:17:56Z
COC000317,EV000074,OF000006,SEALED,2024-10-15T01:17:56Z
COC000318,EV000074,OF000008,TRANSFERRED,2024-10-15T19:17:56Z
COC000319,EV000074,OF000006,RECEIVED_IN_VAULT,2024-10-16T19:17:56Z
COC000320,EV000074,OF000003,VERIFIED,2024-10-17T19:17:56Z
COC000321,EV000075,OF000002,COLLECTED,2024-07-08T06:07:58Z
COC000322,EV000075,OF000002,SEALED,2024-07-08T12:07:58Z
COC000323,EV000075,OF000007,TRANSFERRED,2024-07-09T06:07:58Z
COC000324,EV000075,OF000003,RECEIVED_IN_VAULT,2024-07-10T06:07:58Z
COC000325,EV000075,OF000005,VERIFIED,2024-07-11T06:07:58Z
COC000326,EV000076,OF000003,COLLECTED,2024-06-01T09:58:43Z
COC000327,EV000076,OF000001,SEALED,2024-06-01T15:58:43Z
COC000328,EV000076,OF000005,TRANSFERRED,2024-06-02T09:58:43Z
COC000329,EV000076,OF000002,RECEIVED_IN_VAULT,2024-06-03T09:58:43Z
COC000330,EV000076,OF000006,VERIFIED,2024-06-04T09:58:43Z
COC000331,EV000078,OF000001,COLLECTED,2025-09-08T23:43:17Z
COC000332,EV000078,OF000007,SEALED,2025-09-09T05:43:17Z
COC000333,EV000078,OF000003,TRANSFERRED,2025-09-09T23:43:17Z
COC000334,EV000078,OF000003,RECEIVED_IN_VAULT,2025-09-10T23:43:17Z
COC000335,EV000078,OF000005,VERIFIED,2025-09-11T23:43:17Z
COC000336,EV000079,OF000004,COLLECTED,2025-05-24T01:27:11Z
COC000337,EV000079,OF000001,SEALED,2025-05-24T07:27:11Z
COC000338,EV000079,OF000008,TRANSFERRED,2025-05-25T01:27:11Z
COC000339,EV000079,OF000002,RECEIVED_IN_VAULT,2025-05-26T01:27:11Z
COC000340,EV000079,OF000006,VERIFIED,2025-05-27T01:27:11Z
COC000341,EV000080,OF000007,COLLECTED,2025-11-25T05:09:57Z
COC000342,EV000080,OF000003,SEALED,2025-11-25T11:09:57Z
COC000343,EV000080,OF000002,TRANSFERRED,2025-11-26T05:09:57Z
COC000344,EV000080,OF000008,RECEIVED_IN_VAULT,2025-11-27T05:09:57Z
COC000345,EV000080,OF000005,VERIFIED,2025-11-28T05:09:57Z
COC000346,EV000081,OF000004,COLLECTED,2026-01-21T08:03:13Z
COC000347,EV000081,OF000007,SEALED,2026-01-21T14:03:13Z
COC000348,EV000081,OF000005,TRANSFERRED,2026-01-22T08:03:13Z
COC000349,EV000081,OF000003,RECEIVED_IN_VAULT,2026-01-23T08:03:13Z
COC000350,EV000081,OF000005,VERIFIED,2026-01-24T08:03:13Z
COC000351,EV000082,OF000001,COLLECTED,2025-06-18T17:52:04Z
COC000352,EV000082,OF000002,SEALED,2025-06-18T23:52:04Z
COC000353,EV000082,OF000006,TRANSFERRED,2025-06-19T17:52:04Z
COC000354,EV000082,OF000004,RECEIVED_IN_VAULT,2025-06-20T17:52:04Z
COC000355,EV000082,OF000002,VERIFIED,2025-06-21T17:52:04Z
COC000356,EV000084,OF000007,COLLECTED,2024-12-24T13:51:01Z
COC000357,EV000084,OF000001,SEALED,2024-12-24T19:51:01Z
COC000358,EV000084,OF000007,TRANSFERRED,2024-12-25T13:51:01Z
COC000359,EV000084,OF000003,RECEIVED_IN_VAULT,2024-12-26T13:51:01Z
COC000360,EV000084,OF000007,VERIFIED,2024-12-27T13:51:01Z
COC000361,EV000085,OF000007,COLLECTED,2024-10-08T06:15:34Z
