id,account_number_masked,owner_person_id,bank_name,data_source,created_at
AC000050,XXXX9671,P000041,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.201857Z
AC000051,XXXX8039,P000042,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.201863Z
AC000052,XXXX7565,P000043,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.201868Z
AC000053,XXXX9854,P000044,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.201873Z
AC000054,XXXX1751,P000044,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.201878Z
AC000055,XXXX4698,P000045,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.201885Z
AC000056,XXXX1132,P000045,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.201890Z
AC000057,XXXX4668,P000046,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.201897Z
AC000058,XXXX3003,P000046,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.201902Z
AC000059,XXXX2245,P000047,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.201910Z
AC000060,XXXX4921,P000048,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.201915Z
AC000061,XXXX7549,P000049,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.201921Z
AC000062,XXXX5489,P000050,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.201926Z
AC000063,XXXX5039,P000051,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.201931Z
AC000064,XXXX3254,P000052,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.201939Z
AC000065,XXXX1762,P000053,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.201944Z
AC000066,XXXX2039,P000054,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.201950Z
AC000067,XXXX5578,P000055,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.201957Z
AC000068,XXXX2964,P000056,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.201964Z
AC000069,XXXX3721,P000057,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.201969Z
AC000070,XXXX5153,P000058,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.201974Z
AC000071,XXXX5933,P000059,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.201978Z
AC000072,XXXX6044,P000060,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.201982Z
AC000073,XXXX2221,P000061,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.201986Z
AC000074,XXXX4098,P000062,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.201990Z
AC000075,XXXX6624,P000063,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.201994Z
AC000076,XXXX9258,P000064,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.201998Z
AC000077,XXXX8743,P000065,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202005Z
AC000078,XXXX2026,P000066,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202010Z
AC000079,XXXX4520,P000067,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202014Z
AC000080,XXXX2209,P000068,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202022Z
AC000081,XXXX3664,P000069,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202026Z
AC000082,XXXX9128,P000070,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202030Z
AC000083,XXXX2711,P000071,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202035Z
AC000084,XXXX5556,P000071,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202040Z
AC000085,XXXX5714,P000072,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202044Z
AC000086,XXXX5925,P000072,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202047Z
AC000087,XXXX2680,P000072,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202051Z
AC000088,XXXX1487,P000073,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202055Z
AC000089,XXXX4289,P000073,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202059Z
AC000090,XXXX7455,P000074,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202063Z
AC000091,XXXX6943,P000075,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202066Z
AC000092,XXXX2908,P000076,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202071Z
AC000093,XXXX8145,P000077,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202075Z
AC000094,XXXX4121,P000078,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202079Z
AC000095,XXXX5943,P000079,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202083Z
AC000096,XXXX7545,P000080,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202087Z
AC000097,XXXX2745,P000081,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202091Z
AC000098,XXXX9905,P000082,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202095Z
AC000099,XXXX2730,P000083,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202099Z
AC000100,XXXX3817,P000084,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202103Z
AC000101,XXXX8788,P000085,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202107Z
AC000102,XXXX5010,P000086,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202113Z
AC000103,XXXX5804,P000087,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202118Z
AC000104,XXXX9068,P000088,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202122Z
AC000105,XXXX3594,P000089,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202126Z
AC000106,XXXX8876,P000090,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202130Z
AC000107,XXXX9245,P000091,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202134Z
AC000108,XXXX9357,P000092,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202138Z
AC000109,XXXX5753,P000093,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202141Z
AC000110,XXXX3101,P000094,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202146Z
AC000111,XXXX7764,P000095,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202150Z
AC000112,XXXX6593,P000096,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202154Z
AC000113,XXXX9286,P000096,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202157Z
AC000114,XXXX1440,P000097,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202163Z
AC000115,XXXX9986,P000097,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202167Z
AC000116,XXXX4190,P000097,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202171Z
AC000117,XXXX2404,P000098,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202175Z
AC000118,XXXX7290,P000098,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202179Z
AC000119,XXXX3156,P000099,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202183Z
AC000120,XXXX2236,P000100,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202187Z
AC000121,XXXX9290,P000101,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202191Z
AC000122,XXXX1465,P000102,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202195Z
AC000123,XXXX3394,P000103,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202202Z
AC000124,XXXX2909,P000104,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202207Z
AC000125,XXXX9387,P000105,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202211Z
AC000126,XXXX1731,P000106,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202214Z
AC000127,XXXX8734,P000107,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202218Z
AC000128,XXXX7289,P000108,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202222Z
AC000129,XXXX8693,P000109,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202226Z
AC000130,XXXX2992,P000109,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202230Z
AC000131,XXXX9014,P000110,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202234Z
AC000132,XXXX4536,P000110,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202238Z
AC000133,XXXX4549,P000110,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202241Z
AC000134,XXXX3659,P000111,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202247Z
AC000135,XXXX5621,P000112,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202251Z
AC000136,XXXX1208,P000113,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202256Z
AC000137,XXXX4241,P000114,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202260Z
AC000138,XXXX5400,P000115,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202264Z
AC000139,XXXX7166,P000116,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202268Z
AC000140,XXXX8370,P000117,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202272Z
AC000141,XXXX9219,P000118,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202276Z
AC000142,XXXX6552,P000119,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202282Z
AC000143,XXXX2218,P000120,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202286Z
AC000144,XXXX1379,P000120,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202294Z
AC000145,XXXX7398,P000121,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202298Z
AC000146,XXXX5512,P000121,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202302Z
AC000147,XXXX7258,P000121,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202305Z
AC000148,XXXX3857,P000122,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202320Z
AC000149,XXXX5511,P000122,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202324Z
AC000150,XXXX3575,P000122,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202328Z
AC000151,XXXX2789,P000123,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202333Z
AC000152,XXXX6170,P000124,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202338Z
AC000153,XXXX8821,P000125,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202342Z
AC000154,XXXX6515,P000126,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202346Z
AC000155,XXXX6398,P000127,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202350Z
AC000156,XXXX2736,P000128,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202354Z
AC000157,XXXX6396,P000129,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202357Z
AC000158,XXXX7062,P000130,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202362Z
AC000159,XXXX5572,P000131,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202366Z
AC000160,XXXX8278,P000132,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202370Z
AC000161,XXXX9109,P000133,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202375Z
AC000162,XXXX4722,P000134,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202380Z
AC000163,XXXX7424,P000135,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202384Z
AC000164,XXXX5064,P000136,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202388Z
AC000165,XXXX3076,P000137,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202393Z
AC000166,XXXX8611,P000138,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202397Z
AC000167,XXXX8186,P000138,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202400Z
AC000168,XXXX3091,P000139,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202405Z
AC000169,XXXX8445,P000139,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202408Z
AC000170,XXXX8078,P000139,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202412Z
AC000171,XXXX7314,P000140,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202416Z
AC000172,XXXX4886,P000141,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202420Z
AC000173,XXXX2536,P000142,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202424Z
AC000174,XXXX1652,P000143,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202428Z
AC000175,XXXX5273,P000144,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202432Z
AC000176,XXXX5063,P000145,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202436Z
AC000177,XXXX6413,P000146,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202440Z
AC000178,XXXX9438,P000147,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202444Z
AC000179,XXXX2326,P000148,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202448Z
AC000180,XXXX3014,P000149,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202452Z
AC000181,XXXX5125,P000150,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202457Z
AC000182,XXXX7162,P000151,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202461Z
AC000183,XXXX9223,P000152,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202465Z
AC000184,XXXX9423,P000153,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202469Z
AC000185,XXXX8088,P000154,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202472Z
AC000186,XXXX1341,P000154,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202476Z
AC000187,XXXX7357,P000155,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202486Z
AC000188,XXXX4974,P000155,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202489Z
AC000189,XXXX2816,P000155,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202493Z
AC000190,XXXX5206,P000156,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202497Z
AC000191,XXXX6472,P000157,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202501Z
AC000192,XXXX3800,P000158,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202505Z
AC000193,XXXX9658,P000159,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202509Z
AC000194,XXXX5265,P000160,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202513Z
AC000195,XXXX7680,P000161,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202516Z
AC000196,XXXX2031,P000162,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202520Z
AC000197,XXXX6407,P000163,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202524Z
AC000198,XXXX6676,P000164,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202528Z
AC000199,XXXX1712,P000165,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202532Z
AC000200,XXXX7295,P000166,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202536Z
AC000201,XXXX1070,P000167,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202542Z
AC000202,XXXX8620,P000168,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202546Z
AC000203,XXXX8298,P000169,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202550Z
AC000204,XXXX2124,P000169,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202554Z
AC000205,XXXX5667,P000170,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202558Z
AC000206,XXXX2027,P000170,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202563Z
AC000207,XXXX6093,P000171,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202567Z
AC000208,XXXX6141,P000172,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202573Z
AC000209,XXXX2607,P000173,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202576Z
AC000210,XXXX8309,P000174,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202581Z
AC000211,XXXX5055,P000175,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202585Z
AC000212,XXXX9100,P000176,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202589Z
AC000213,XXXX4955,P000177,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202592Z
AC000214,XXXX2720,P000178,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202597Z
AC000215,XXXX6451,P000179,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202600Z
AC000216,XXXX6296,P000180,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202604Z
AC000217,XXXX1524,P000181,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202608Z
AC000218,XXXX4874,P000182,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202612Z
AC000219,XXXX3558,P000183,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202615Z
AC000220,XXXX6140,P000184,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202623Z
AC000221,XXXX8495,P000185,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202628Z
AC000222,XXXX5423,P000186,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202633Z
AC000223,XXXX7260,P000187,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202637Z
AC000224,XXXX8209,P000188,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202641Z
AC000225,XXXX3035,P000189,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202645Z
AC000226,XXXX7410,P000190,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202649Z
AC000227,XXXX8369,P000191,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202653Z
AC000228,XXXX3356,P000192,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202657Z
AC000229,XXXX5087,P000193,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202663Z
AC000230,XXXX3148,P000194,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202668Z
AC000231,XXXX4312,P000195,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202671Z
AC000232,XXXX1045,P000196,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202675Z
AC000233,XXXX3606,P000197,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202679Z
AC000234,XXXX5678,P000197,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202683Z
AC000235,XXXX6482,P000198,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202688Z
AC000236,XXXX8485,P000198,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202691Z
AC000237,XXXX9501,P000198,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202695Z
AC000238,XXXX9019,P000199,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202699Z
AC000239,XXXX3297,P000200,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202703Z
AC000240,XXXX9625,P000201,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202708Z
AC000241,XXXX3973,P000202,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202712Z
AC000242,XXXX8910,P000203,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202716Z
AC000243,XXXX3180,P000204,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202720Z
AC000244,XXXX6529,P000206,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202726Z
AC000245,XXXX1204,P000209,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202731Z
AC000246,XXXX6003,P000212,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202736Z
AC000247,XXXX5901,P000215,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202740Z
AC000248,XXXX8600,P000216,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202744Z
AC000249,XXXX1201,P000217,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202748Z
AC000250,XXXX1017,P000221,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202754Z
AC000251,XXXX8809,P000223,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202760Z
AC000252,XXXX8787,P000225,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202764Z
AC000253,XXXX5151,P000226,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202768Z
AC000254,XXXX8194,P000232,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202773Z
AC000255,XXXX6958,P000236,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202778Z
AC000256,XXXX9762,P000239,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202782Z
AC000257,XXXX4708,P000247,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202788Z
AC000258,XXXX3535,P000259,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202795Z
AC000259,XXXX6490,P000260,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202801Z
AC000260,XXXX6977,P000266,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202806Z
AC000261,XXXX7018,P000273,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202812Z
AC000262,XXXX4505,P000276,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202816Z
AC000263,XXXX3207,P000277,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202820Z
AC000264,XXXX4785,P000280,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202824Z
AC000265,XXXX1436,P000285,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202829Z
AC000266,XXXX4247,P000288,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202833Z
AC000267,XXXX6466,P000290,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202837Z
