id,full_name,person_role,dob,gender,address,risk_band,data_source,created_at
P000049,Januja Oommen,criminal,1956-07-11,male,"158, Bypass Road, Kajamalai, Tiruchchirappalli, Tamil Nadu 620239",medium,SYNTHETIC,2026-09-07T05:41:13.156564Z
P000050,Janani Shetty,criminal,1971-02-26,male,"54, Dharmapuri Road, Washermenpet, Namakkal, Tamil Nadu 618178",medium,SYNTHETIC,2026-09-07T05:41:13.156603Z
P000051,Timothy Chaudhari,criminal,1983-04-27,male,"324, Ghat Road, Mettupalayam, Villupuram, Tamil Nadu 616356",high,SYNTHETIC,2026-09-07T05:41:13.156658Z
P000052,Yatin Nazareth,criminal,1978-07-31,male,"210, Dharmapuri Road, Chokkanadar Pettai, Sivaganga, Tamil Nadu 621505",high,SYNTHETIC,2026-09-07T05:41:13.156725Z
P000053,Aayush Sachdeva,criminal,1979-03-27,male,"142, South Mada Street, Velachery, Dharmapuri, Tamil Nadu 604953",low,SYNTHETIC,2026-09-07T05:41:13.156790Z
P000054,Benjamin Kapadia,criminal,1971-04-16,female,"383, 5th Cross, Mattuthavani, Vellore, Tamil Nadu 614315",medium,SYNTHETIC,2026-09-07T05:41:13.156853Z
P000055,Yasti Seth,criminal,1979-07-03,male,"226, Eruvadi Road, Arumbakkam, Kanniyakumari, Tamil Nadu 633336",high,SYNTHETIC,2026-09-07T05:41:13.156921Z
P000056,Yatan Rattan,criminal,1963-07-28,male,"223, Ghat Road, Chokkanadar Pettai, Ramanathapuram, Tamil Nadu 624870",medium,SYNTHETIC,2026-09-07T05:41:13.156988Z
P000057,Parth Majumdar,criminal,1983-08-14,male,"397, Market Street, Egmore, Cuddalore, Tamil Nadu 616027",high,SYNTHETIC,2026-09-07T05:41:13.157048Z
P000058,Dhriti Pall,criminal,1962-10-30,male,"397, Main Road, Palladam, Pudukkottai, Tamil Nadu 613201",medium,SYNTHETIC,2026-09-07T05:41:13.157110Z
P000059,Chakradev Gandhi,criminal,1988-04-25,male,"5, High Court Road, Sowdambika Layout, Thiruvallur, Tamil Nadu 608814",medium,SYNTHETIC,2026-09-07T05:41:13.157172Z
P000060,Aishani Dey,criminal,1975-11-30,male,"269, Double Road, Peelamedu, Nagapattinam, Tamil Nadu 625085",medium,SYNTHETIC,2026-09-07T05:41:13.157233Z
P000061,Mugdha Kapadia,criminal,2001-08-12,male,"282, Ghat Road, Ambattur, Erode, Tamil Nadu 602377",low,SYNTHETIC,2026-09-07T05:41:13.157296Z
P000062,Sarthak Warrior,criminal,2004-09-03,male,"58, Main Road, Washermenpet, Sivaganga, Tamil Nadu 613038",medium,SYNTHETIC,2026-09-07T05:41:13.157357Z
P000063,Hemal Munshi,criminal,1999-10-17,male,"385, Anna Salai, Royapuram, Thiruvarur, Tamil Nadu 638106",medium,SYNTHETIC,2026-09-07T05:41:13.157420Z
P000064,Ayushman Date,criminal,1993-06-03,male,"120, Load Road, Bharathi Bazaar, Coimbatore, Tamil Nadu 609081",low,SYNTHETIC,2026-09-07T05:41:13.157481Z
P000065,Hemang Dhillon,criminal,1961-03-26,male,"241, Load Road, Meenakshi Nagar, Villupuram, Tamil Nadu 632738",low,SYNTHETIC,2026-09-07T05:41:13.157543Z
P000066,Janani Sunder,criminal,1957-03-28,male,"147, South Mada Street, Ganapathy, Theni, Tamil Nadu 632376",low,SYNTHETIC,2026-09-07T05:41:13.157603Z
P000067,Amara Kadakia,criminal,1974-10-13,male,"372, Dharmapuri Road, Egmore, Vellore, Tamil Nadu 614286",medium,SYNTHETIC,2026-09-07T05:41:13.157668Z
P000068,Aahana Rama,criminal,1970-10-20,male,"256, Anna Salai, Peelamedu, Ariyalur, Tamil Nadu 605958",medium,SYNTHETIC,2026-09-07T05:41:13.157727Z
P000069,Ryan Raj,criminal,1973-09-13,male,"144, Harbour Approach Road, Sundarankottai, Erode, Tamil Nadu 628514",medium,SYNTHETIC,2026-09-07T05:41:13.157793Z
P000070,Veda Chawla,criminal,1967-01-07,male,"89, Double Road, Sundarankottai, Chengalpattu, Tamil Nadu 622448",low,SYNTHETIC,2026-09-07T05:41:13.157856Z
P000071,Dayita Nadig,criminal,1958-10-02,male,"369, Periyar Road, Madurai Junction, Cuddalore, Tamil Nadu 628499",medium,SYNTHETIC,2026-09-07T05:41:13.157958Z
P000072,Priya Ram,criminal,1996-03-29,female,"188, 5th Cross, Pothigai Nagar, Dharmapuri, Tamil Nadu 626650",medium,SYNTHETIC,2026-09-07T05:41:13.158029Z
P000073,Warinder Dora,criminal,1977-03-13,male,"159, 5th Cross, Singanallur, Tiruvannamalai, Tamil Nadu 623322",high,SYNTHETIC,2026-09-07T05:41:13.158099Z
P000074,Hemang Natt,criminal,1997-08-27,male,"291, 5th Cross, Palladam, Villupuram, Tamil Nadu 623233",high,SYNTHETIC,2026-09-07T05:41:13.158163Z
P000075,Shaurya Kalita,criminal,1978-10-27,male,"226, Load Road, Arappalayam, Villupuram, Tamil Nadu 610243",high,SYNTHETIC,2026-09-07T05:41:13.158223Z
P000076,Aarini Cherian,criminal,1965-07-30,male,"68, Harbour Approach Road, Madurai Junction, Madurai, Tamil Nadu 604728",low,SYNTHETIC,2026-09-07T05:41:13.158293Z
P000077,Charan Saxena,criminal,1990-11-24,male,"280, Anna Salai, Mettupalayam, Salem, Tamil Nadu 623299",medium,SYNTHETIC,2026-09-07T05:41:13.158354Z
P000078,Netra Sarin,criminal,1993-01-03,male,"56, Anna Salai, Madurai Junction, Coimbatore, Tamil Nadu 637928",high,SYNTHETIC,2026-09-07T05:41:13.158422Z
P000079,Urvashi Konda,criminal,2005-05-26,male,"101, Anna Salai, Tambaram, Madurai, Tamil Nadu 601454",high,SYNTHETIC,2026-09-07T05:41:13.158483Z
P000080,Fiyaz Sethi,criminal,1962-04-10,male,"149, Kamraj Road, Mylapore, Ariyalur, Tamil Nadu 626735",medium,SYNTHETIC,2026-09-07T05:41:13.158543Z
P000081,Daksha Bajwa,criminal,1981-11-06,male,"108, South Mada Street, Azhagar Koil Road, Kanniyakumari, Tamil Nadu 626604",medium,SYNTHETIC,2026-09-07T05:41:13.158626Z
P000082,Brijesh Sodhi,criminal,1973-11-01,female,"137, Kamraj Road, Pappanaickenpalayam, Vellore, Tamil Nadu 623850",low,SYNTHETIC,2026-09-07T05:41:13.158700Z
P000083,Alka Sur,criminal,1960-11-14,male,"45, Railway Station Road, Keezhakkarai, Salem, Tamil Nadu 624966",medium,SYNTHETIC,2026-09-07T05:41:13.158766Z
P000084,Anthony Bhattacharyya,criminal,2001-04-28,male,"175, Church Street, Vilachery, Salem, Tamil Nadu 616646",medium,SYNTHETIC,2026-09-07T05:41:13.158829Z
P000085,Eesha Ravi,criminal,1967-06-20,female,"131, Eruvadi Road, Muthialpet, Coimbatore, Tamil Nadu 621139",low,SYNTHETIC,2026-09-07T05:41:13.158892Z
P000086,Jagrati Mall,criminal,1975-10-30,male,"346, Nethaji Road, Ganapathy, Villupuram, Tamil Nadu 625518",medium,SYNTHETIC,2026-09-07T05:41:13.158951Z
P000087,David Apte,criminal,1965-09-28,male,"197, Kamraj Road, Valluvar Layout, Sivaganga, Tamil Nadu 615982",low,SYNTHETIC,2026-09-07T05:41:13.159020Z
P000088,Bachittar Kapoor,criminal,1991-05-12,male,"173, High Court Road, Sulur, Cuddalore, Tamil Nadu 635655",low,SYNTHETIC,2026-09-07T05:41:13.159091Z
P000089,Hitesh Sastry,criminal,1979-05-12,male,"340, Main Road, Vilachery, Virudhunagar, Tamil Nadu 625976",low,SYNTHETIC,2026-09-07T05:41:13.159151Z
P000090,Ekantika Narain,criminal,1957-11-07,male,"163, Nethaji Road, Peelamedu, Kancheepuram, Tamil Nadu 603097",medium,SYNTHETIC,2026-09-07T05:41:13.159211Z
P000091,Triveni Karnik,criminal,1994-06-11,male,"238, Church Street, Ammapet, Erode, Tamil Nadu 637921",low,SYNTHETIC,2026-09-07T05:41:13.159272Z
P000092,Sachi Keer,criminal,1972-04-02,male,"34, Eruvadi Road, Valluvar Layout, Namakkal, Tamil Nadu 611517",high,SYNTHETIC,2026-09-07T05:41:13.159338Z
P000093,Nicholas Sibal,criminal,1981-02-23,female,"269, Dharmapuri Road, Vinoba Nagar, Namakkal, Tamil Nadu 619907",medium,SYNTHETIC,2026-09-07T05:41:13.159410Z
P000094,Dominic Borde,criminal,1954-12-18,male,"371, Church Street, Pappanaickenpalayam, Villupuram, Tamil Nadu 627895",medium,SYNTHETIC,2026-09-07T05:41:13.159472Z
P000095,Chavvi Dey,criminal,2004-07-02,male,"191, Dharmapuri Road, Pothigai Nagar, Kancheepuram, Tamil Nadu 618354",medium,SYNTHETIC,2026-09-07T05:41:13.159527Z
P000096,Simon Sandal,criminal,1991-02-06,male,"196, Service Lane, Garuda Mall Corridor, Perambalur, Tamil Nadu 616983",medium,SYNTHETIC,2026-09-07T05:41:13.159601Z
P000097,Nandini Dugar,criminal,1986-10-30,male,"208, Church Street, Valluvar Layout, Virudhunagar, Tamil Nadu 620465",high,SYNTHETIC,2026-09-07T05:41:13.159662Z
P000098,Andrew Devi,criminal,1960-01-09,male,"228, Bypass Road, Bharathi Bazaar, Madurai, Tamil Nadu 621884",medium,SYNTHETIC,2026-09-07T05:41:13.159720Z
P000099,Vedant Misra,criminal,1981-06-03,male,"160, South Mada Street, Arumbakkam, Theni, Tamil Nadu 635758",medium,SYNTHETIC,2026-09-07T05:41:13.159778Z
P000100,Kashish Bhasin,criminal,1972-09-29,male,"48, Load Road, Velachery, Namakkal, Tamil Nadu 610782",medium,SYNTHETIC,2026-09-07T05:41:13.159837Z
P000101,Jagvi Srinivas,criminal,2006-06-13,male,"309, Anna Salai, Kajamalai, Thiruvallur, Tamil Nadu 636900",unknown,SYNTHETIC,2026-09-07T05:41:13.159897Z
P000102,Theodore Bal,criminal,2003-10-02,male,"246, Bypass Road, Muthialpet, Dharmapuri, Tamil Nadu 635177",unknown,SYNTHETIC,2026-09-07T05:41:13.159980Z
P000103,Triveni Lad,criminal,1956-01-03,male,"3, Kamraj Road, Sowdambika Layout, Chengalpattu, Tamil Nadu 636950",medium,SYNTHETIC,2026-09-07T05:41:13.160034Z
P000104,Chaman Kibe,criminal,1965-04-12,male,"215, Service Lane, Gandhipuram, Nagapattinam, Tamil Nadu 611453",medium,SYNTHETIC,2026-09-07T05:41:13.160074Z
P000105,Anvi Garg,criminal,1969-11-02,male,"56, Dharmapuri Road, Egmore, Thiruvarur, Tamil Nadu 623387",high,SYNTHETIC,2026-09-07T05:41:13.160114Z
P000106,Yadavi Dasgupta,criminal,1968-02-14,male,"317, Main Road, Sowdambika Layout, Nagapattinam, Tamil Nadu 620163",medium,SYNTHETIC,2026-09-07T05:41:13.160153Z
P000107,Mitesh Rau,criminal,1978-05-05,male,"300, Market Street, Bharathi Bazaar, Namakkal, Tamil Nadu 602808",medium,SYNTHETIC,2026-09-07T05:41:13.160192Z
P000108,Hredhaan Bumb,criminal,1961-08-09,male,"1, Kamraj Road, Kajamalai, Kanniyakumari, Tamil Nadu 616630",low,SYNTHETIC,2026-09-07T05:41:13.160228Z
P000109,Lakshit Verma,criminal,2000-03-21,male,"249, Eruvadi Road, Arappalayam, Perambalur, Tamil Nadu 628371",high,SYNTHETIC,2026-09-07T05:41:13.160292Z
P000110,Kritika Maharaj,criminal,1971-04-06,male,"355, Double Road, KK Nagar, Dharmapuri, Tamil Nadu 609812",medium,SYNTHETIC,2026-09-07T05:41:13.160332Z
P000111,Hiral Kashyap,criminal,1978-11-18,male,"276, 5th Cross, New Bus Stand, Tiruppur, Tamil Nadu 608625",medium,SYNTHETIC,2026-09-07T05:41:13.160369Z
P000112,Yashawini Saraf,criminal,1995-04-19,male,"198, Eruvadi Road, RS Puram, Tiruvannamalai, Tamil Nadu 638365",high,SYNTHETIC,2026-09-07T05:41:13.160410Z
P000113,Chakrika Gole,criminal,1962-02-10,female,"289, Church Street, Peelamedu, Perambalur, Tamil Nadu 637454",unknown,SYNTHETIC,2026-09-07T05:41:13.160461Z
P000114,Yasti Kapur,criminal,1958-11-18,male,"148, Service Lane, Arappalayam, Pudukkottai, Tamil Nadu 626415",high,SYNTHETIC,2026-09-07T05:41:13.160499Z
P000115,Abhimanyu Patel,criminal,1975-12-31,male,"251, 5th Cross, Pappanaickenpalayam, Kancheepuram, Tamil Nadu 613988",high,SYNTHETIC,2026-09-07T05:41:13.160536Z
P000116,Nidhi Bains,criminal,1999-06-01,male,"4, Periyar Road, Ganapathy, Tiruppur, Tamil Nadu 620599",medium,SYNTHETIC,2026-09-07T05:41:13.160573Z
P000117,Andrew Verma,criminal,1967-12-09,male,"250, Periyar Road, Porur, Kancheepuram, Tamil Nadu 614714",medium,SYNTHETIC,2026-09-07T05:41:13.160609Z
P000118,Ikshita Krishna,criminal,1959-09-11,female,"45, Church Street, Gandhipuram, Perambalur, Tamil Nadu 637915",medium,SYNTHETIC,2026-09-07T05:41:13.160651Z
P000119,Shivani Bala,criminal,1990-09-24,male,"19, Ghat Road, Thirunagar, Thoothukudi, Tamil Nadu 617941",low,SYNTHETIC,2026-09-07T05:41:13.160689Z
P000120,Harshil Ramesh,criminal,1955-02-07,male,"409, Nethaji Road, Nellithope, Kanniyakumari, Tamil Nadu 633777",high,SYNTHETIC,2026-09-07T05:41:13.160746Z
P000121,Qabil Kumer,criminal,1958-10-25,male,"303, High Court Road, Pothigai Nagar, Erode, Tamil Nadu 610201",medium,SYNTHETIC,2026-09-07T05:41:13.160791Z
P000122,Yashawini Talwar,criminal,2000-11-08,male,"153, Nethaji Road, Ammapet, Thiruvarur, Tamil Nadu 621617",medium,SYNTHETIC,2026-09-07T05:41:13.160833Z
P000123,Nirja Bava,criminal,1993-05-01,male,"134, Dharmapuri Road, Ambattur, Salem, Tamil Nadu 626345",unknown,SYNTHETIC,2026-09-07T05:41:13.160876Z
P000124,Vedhika Hans,criminal,1988-12-17,male,"73, Market Street, Bharathi Bazaar, Coimbatore, Tamil Nadu 602954",unknown,SYNTHETIC,2026-09-07T05:41:13.160916Z
P000125,Balvan Dyal,criminal,1992-10-03,male,"337, Load Road, Adyar, Ramanathapuram, Tamil Nadu 600117",medium,SYNTHETIC,2026-09-07T05:41:13.160956Z
P000126,Harita Apte,criminal,1996-01-16,male,"251, Ghat Road, Bharathi Bazaar, Namakkal, Tamil Nadu 602413",low,SYNTHETIC,2026-09-07T05:41:13.160995Z
P000127,Yashasvi Sani,criminal,1970-05-01,male,"371, Anna Salai, Azhagar Koil Road, Madurai, Tamil Nadu 626125",low,SYNTHETIC,2026-09-07T05:41:13.161035Z
P000128,Isaac Srinivas,criminal,1985-02-18,male,"109, Ghat Road, Vadapalani, Vellore, Tamil Nadu 601581",high,SYNTHETIC,2026-09-07T05:41:13.161073Z
P000129,Ronith Pingle,criminal,1993-03-26,male,"13, Periyar Road, Sowdambika Layout, Chennai, Tamil Nadu 606357",low,SYNTHETIC,2026-09-07T05:41:13.161111Z
P000130,Dhruv Sen,criminal,1986-03-27,male,"378, Eruvadi Road, Egmore, Sivaganga, Tamil Nadu 613645",medium,SYNTHETIC,2026-09-07T05:41:13.161152Z
P000131,Bina Reddy,criminal,1976-10-09,male,"157, Harbour Approach Road, Vilachery, Kancheepuram, Tamil Nadu 620698",low,SYNTHETIC,2026-09-07T05:41:13.161189Z
P000132,Peter Nayar,criminal,1976-01-12,male,"328, Church Street, Ammapet, Madurai, Tamil Nadu 634876",medium,SYNTHETIC,2026-09-07T05:41:13.161227Z
P000133,Jasmit Prakash,criminal,1956-11-23,male,"391, North Car Street, Ambattur, Ramanathapuram, Tamil Nadu 639952",low,SYNTHETIC,2026-09-07T05:41:13.161263Z
P000134,Omisha Srivastava,criminal,1988-05-10,female,"225, Main Road, Tambaram, Nilgiris, Tamil Nadu 605399",low,SYNTHETIC,2026-09-07T05:41:13.161298Z
P000135,Lakshit Khosla,criminal,1955-02-26,male,"402, Service Lane, Kajamalai, Ramanathapuram, Tamil Nadu 623420",medium,SYNTHETIC,2026-09-07T05:41:13.161334Z
P000136,Vanya Banerjee,criminal,1993-12-26,male,"57, Nethaji Road, Porur, Vellore, Tamil Nadu 626279",medium,SYNTHETIC,2026-09-07T05:41:13.161369Z
P000137,Jairaj Chanda,criminal,1990-01-20,male,"210, Church Street, Meenakshi Nagar, Madurai, Tamil Nadu 622984",unknown,SYNTHETIC,2026-09-07T05:41:13.161405Z
P000138,Kashish Venkatesh,criminal,1964-04-06,male,"89, 5th Cross, Sundarankottai, Tiruchchirappalli, Tamil Nadu 626948",high,SYNTHETIC,2026-09-07T05:41:13.161452Z
P000139,Turvi Khare,criminal,1993-08-13,male,"300, North Car Street, Mylapore, Namakkal, Tamil Nadu 603000",high,SYNTHETIC,2026-09-07T05:41:13.161490Z
P000140,Tanveer Pant,criminal,1977-09-15,male,"232, Kamraj Road, Garuda Mall Corridor, Dharmapuri, Tamil Nadu 605996",high,SYNTHETIC,2026-09-07T05:41:13.161527Z
P000141,Yuvraj Sheth,criminal,1995-06-08,male,"45, Nethaji Road, New Bus Stand, Dharmapuri, Tamil Nadu 637396",medium,SYNTHETIC,2026-09-07T05:41:13.161566Z
P000142,Irya Raju,criminal,1984-01-20,male,"127, Double Road, Singanallur, Nagapattinam, Tamil Nadu 605991",high,SYNTHETIC,2026-09-07T05:41:13.161604Z
P000143,Ira Bhatnagar,criminal,1957-03-25,male,"225, Eruvadi Road, Ukkadam, Nilgiris, Tamil Nadu 603081",medium,SYNTHETIC,2026-09-07T05:41:13.161640Z
P000144,Umang Nadkarni,criminal,1990-01-11,male,"266, Market Street, Madurai Junction, Pudukkottai, Tamil Nadu 624108",unknown,SYNTHETIC,2026-09-07T05:41:13.161676Z
P000145,Balhaar Kale,criminal,1990-09-23,male,"389, North Car Street, Mettupalayam, Madurai, Tamil Nadu 604863",medium,SYNTHETIC,2026-09-07T05:41:13.161712Z
P000146,Azaan Swamy,criminal,1985-06-15,female,"225, Railway Station Road, RS Puram, Sivaganga, Tamil Nadu 613921",medium,SYNTHETIC,2026-09-07T05:41:13.161755Z
P000147,Waida Chakraborty,criminal,1980-03-02,male,"334, Railway Station Road, Chokkanadar Pettai, Madurai, Tamil Nadu 609352",high,SYNTHETIC,2026-09-07T05:41:13.161795Z
P000148,Vasatika Pal,criminal,1972-04-06,male,"57, Main Road, Bharathi Bazaar, Karur, Tamil Nadu 600654",medium,SYNTHETIC,2026-09-07T05:41:13.161833Z
P000149,Riya Jha,criminal,1976-10-31,female,"181, High Court Road, Adyar, Erode, Tamil Nadu 630771",low,SYNTHETIC,2026-09-07T05:41:13.161873Z
P000150,Bhavya Cherian,criminal,1990-02-15,male,"102, Kamraj Road, Muthialpet, Chengalpattu, Tamil Nadu 629332",low,SYNTHETIC,2026-09-07T05:41:13.161910Z
